Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA, Georgia",125636,5539,2900,939,1092,1095,1326,902,1402,1034,1798,1389,1971,2802,950,2246,813,9639,1841,2956,12384,4539,42085,16657,5111,2226
"Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA, Georgia",115413,2052,2944,2139,1058,2435,2425,2381,646,2105,2145,1913,2264,3029,2543,3347,1824,8162,607,2436,8767,4309,32382,17571,3815,2114
"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA, Georgia",115773,4008,1626,2206,2662,2626,1746,1317,1751,2371,2210,2192,1201,1350,2755,4865,889,26009,2732,4569,12076,7525,14857,8404,2778,1048
"Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA, Georgia",133757,5588,3669,3334,664,1525,2019,1016,2201,1875,2911,3409,2505,2440,3536,3819,2683,24739,3240,3769,13536,13497,19293,9643,2019,827
"Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA, Georgia",169985,5475,3827,2914,2560,2952,3830,2656,3514,2875,3717,2178,2114,5253,2243,3227,1054,12412,1342,6059,13774,8440,49086,23687,3574,1222
"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA, Georgia",134016,3492,2955,2278,1085,1121,741,665,1275,1121,430,945,1214,899,1575,901,1146,10391,632,2299,12879,3606,49005,21572,7854,3935
"Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast) PUMA, Georgia",143643,6642,3050,2151,1337,1573,1387,1153,935,1193,1612,807,1526,1120,2274,3261,666,13921,2669,3929,18496,5535,36163,20414,7714,4115
"Atlanta Regional Commission (Central)--DeKalb County (South) PUMA, Georgia",117636,3083,2376,3130,1787,1434,2750,665,693,1302,1307,1646,856,3078,2473,3015,1731,23776,3545,4102,15473,11167,19099,7179,892,1077
"Three Rivers Regional Commission (East) PUMA, Georgia",153946,3875,4310,2028,2254,2528,1950,1647,1675,2942,3292,3194,4296,6817,6375,5560,1785,37843,9161,7148,19085,9099,11337,3799,1303,643
"Atlanta Regional Commission (Central)--DeKalb County (East Central)--Redan PUMA, Georgia",141283,4310,4632,3193,1757,2343,1763,2913,2727,2800,4007,2576,2495,2588,3675,3971,2120,25180,2172,4058,17870,12163,22483,7123,1143,1221
