Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Carroll County PUMA, Maryland",168576,5370,4574,2329,1980,2501,1660,1851,1614,2691,1463,1847,3702,3474,4472,5481,1787,36170,2639,9794,16397,9474,30584,13283,2181,1258
"Baltimore County (Outer) PUMA, Maryland",121143,3240,2736,1850,1056,869,2163,1828,1865,1495,1482,2241,1464,2281,2943,2309,998,17837,1721,5114,11283,6947,26004,13477,5914,2026
"Baltimore County--Randallstown (East), Owings Mills, Milford Mill & Reisterstown PUMA; Maryland",136642,4788,3061,1002,1883,2099,1910,1117,1775,3018,1730,2709,1783,4809,1791,3568,1782,20399,3647,6661,15283,12314,24980,10743,2484,1306
"Baltimore County--Pikesville (South), Lochearn, Cockeysville & Mays Chapel PUMA; Maryland",115503,3520,4045,1957,2782,1435,1083,1937,1999,619,1101,1240,1215,993,1719,2725,908,12659,1967,4388,14573,6058,25331,13619,5837,1793
"Baltimore County--Towson (East & Central), Parkville & Carney PUMA; Maryland",122478,4123,2907,2852,1584,658,1308,1112,1656,1503,713,1855,2378,2158,2162,2216,1072,18899,2374,6871,16646,5554,23672,13593,2353,2259
"Baltimore County--Perry Hall, Middle River & Rosedale PUMA; Maryland",110869,4475,4865,1229,1404,1733,1312,1436,1029,1452,1958,1955,1079,1215,3015,1996,1459,20904,3129,6593,11401,6329,17611,9143,2475,1672
"Baltimore County--Dundalk, Essex & Edgemere PUMA; Maryland",112461,4270,4090,1318,1437,673,1178,1799,2738,2654,1332,1317,4398,4148,2051,2665,2693,31895,6943,7211,12945,4257,7112,2806,231,300
"Baltimore County--Catonsville, Woodlawn & Arbutus PUMA; Maryland",110218,2831,4879,1435,1605,1328,667,1784,1284,2380,1636,1158,1161,2355,2113,3796,1019,21158,2643,7621,12287,5169,17155,9999,1532,1223
"Baltimore City--Sandtown-Winchester, Ashburton & Mount Washington PUMA; Maryland",127283,3409,4242,1272,2033,1396,773,1010,1647,885,1204,2262,1824,3776,4855,4224,3399,32796,5653,7966,16780,3748,10664,7871,2587,1007
"Baltimore City--Guilford, Roland Park & Druid Lake PUMA; Maryland",113131,5035,4263,2163,677,704,547,961,861,1467,1510,1476,2825,1092,3251,3777,1645,16142,3029,5227,15383,3285,14443,15086,3132,5150
"Baltimore City--Frankford, Belair-Edison & Loch Raven PUMA; Maryland",115095,1826,5050,2103,1364,1733,1872,1108,1600,1471,920,1795,1200,1937,4136,2539,1739,28781,4399,7448,12233,6917,13103,8945,430,446
"Baltimore City--Inner Harbor, Canton & Bayview PUMA; Maryland",126392,5843,5534,2511,1389,373,924,1597,1344,1341,1587,1183,3644,2024,4779,4949,1507,17766,4300,5356,10738,3919,24993,10663,5002,3126
"Baltimore City--Irvington, Ten Hills & Cherry Hill PUMA; Maryland",121245,4301,4985,3519,1286,2025,1962,1660,1947,2402,2256,2578,3737,3306,4763,4360,2510,22313,6121,5513,14990,2991,12837,6056,2272,555
"Howard County (West)--Columbia (West) & Ellicott City (Northwest) PUMA, Maryland",139545,2907,2352,1900,1813,1139,1896,2159,2214,1320,1959,3449,3198,2137,3266,2094,1685,15093,1554,3869,11373,4837,34488,21853,4987,6003
"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA; Maryland",183567,7222,9173,3039,2174,2371,2323,2741,2950,2927,3095,2364,2624,2593,3395,2750,2423,21207,1962,6756,18058,7150,40098,24034,5250,4888
"Anne Arundel County (Northwest)--Severn, Odenton, Crofton, Maryland City & Fort Meade PUMA; Maryland",172533,6407,5182,2319,3192,2206,2626,2035,3104,2289,2772,3328,2258,3867,3552,2498,2122,26032,4760,8733,17313,11910,31153,19574,2451,850
"Anne Arundel County (North)--Glen Burnie, Pasadena, Ferndale & Brooklyn Park PUMA; Maryland",118263,3473,2505,2764,1791,1873,914,742,671,1807,1220,2840,968,3197,4313,2056,1887,28915,4829,7781,16024,8550,12663,5734,0,746
"Anne Arundel County (Central)--Severna Park, Arnold & Lake Shore PUMA; Maryland",139585,5345,4222,2361,1186,1824,1507,1956,1296,2170,2769,2058,3329,2058,2381,3887,1374,19318,3297,6578,15865,8053,29556,13825,2368,1002
"Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater PUMA; Maryland",146092,4718,3575,1978,1485,3171,1269,1745,2105,1581,2414,1912,1624,2806,2653,2892,2298,22776,3842,7064,16505,8321,30138,14450,2197,2573
"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA; Maryland",172164,4642,4588,1491,2815,2551,1961,2201,2246,3471,3365,2310,2139,3854,3743,6077,2713,42297,5105,9702,19841,9320,20858,10085,3398,1391
