Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA; Texas",197235,7619,4578,3438,3497,2580,2304,3612,3023,4241,4442,3620,4547,4751,5701,5855,2381,34766,6608,11478,25424,11807,26209,11083,1438,2233
"Kaufman County PUMA, Texas",128336,5856,3718,3698,1357,2480,1811,1357,1730,2613,3072,3005,3633,3648,3905,5009,2603,24429,6656,8966,15669,6030,11703,3965,451,972
"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA; Texas",126879,2960,1221,1707,1240,873,1393,745,1938,1323,2369,965,2220,3456,2048,1967,303,16096,1674,3301,19995,6174,33591,12849,3716,2755
"Collin County (Southwest)--Plano City (West) PUMA, Texas",117148,3164,2414,2325,1741,1887,2470,1070,1757,2288,2313,1717,1779,2771,2336,2386,1343,8248,627,3573,8119,3521,33361,20388,3881,1669
"Collin County (Southwest)--Plano City (Central) PUMA, Texas",115247,4726,3753,1866,898,1469,1392,2121,2029,3064,2602,2163,2563,1454,2330,2440,1471,14859,2694,4406,14538,6650,24468,9200,1340,751
"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA; Texas",142660,4098,4613,3392,1342,1136,2339,1431,2567,1928,3963,2872,2314,2922,3346,3197,1271,18350,1861,6083,18266,7417,29249,14142,2285,2276
"Collin County (Central)--McKinney City PUMA, Texas",156660,4793,7300,3316,1905,1447,2313,2453,4208,2793,5352,2775,1800,3118,2407,4901,635,16029,3221,7958,20759,8740,32473,12768,2034,1162
"Collin County (Northwest)--Frisco City (East) & Prosper Town PUMA, Texas",193390,7678,4472,5654,2957,5151,2761,3776,4120,5872,5075,3961,5210,3689,3438,4082,790,15519,2386,5648,17836,8459,46590,24311,2145,1810
"Collin County (East) PUMA, Texas",152698,6815,5063,2881,2169,933,3414,2660,2147,2946,4915,2655,2926,3506,2878,3482,1550,22622,4669,7457,18155,9487,26212,10090,1511,1555
"Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA, Texas",130044,4573,3192,1362,754,1185,1640,1440,1249,1617,3010,1725,1870,3041,3512,2142,1115,19256,2066,4475,15280,9801,31408,11537,1987,807
"Denton County (Southeast)--Lewisville City PUMA, Texas",113692,5720,4463,2235,2028,1850,1719,1618,2340,1408,2955,931,2369,1635,1538,2082,691,18261,2334,5253,15991,6307,23312,5349,783,520
"Denton County (South Central)--Flower Mound Town & Highland Village City PUMA, Texas",156390,5494,4806,3330,3152,2399,2824,806,3392,1540,3306,2929,3539,2151,2954,3676,1066,14408,1791,5971,14366,6434,44242,17465,2529,1820
"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA; Texas",181027,7920,2807,7255,1882,5127,2691,2567,2441,2782,4056,3021,2875,3204,3164,5272,1579,14912,4178,8226,18987,9474,41549,21898,1847,1313
"Denton County (Central)--Denton (Central) & Corinth Cities PUMA, Texas",118616,2445,1908,2695,1255,517,549,362,801,259,2243,1329,1282,1830,2301,2982,1934,12239,2509,10691,33852,5761,20952,5408,1322,1190
"Denton County (North & West)--Denton City (Outer) PUMA, Texas",159850,5355,5774,3018,2166,3456,3441,3799,2378,3357,4217,2287,5063,3779,3018,3732,1757,25582,5895,10745,17972,7733,24767,8322,991,1246
"Ellis County PUMA, Texas",179116,7394,6629,1898,3368,2822,3298,2898,3323,2232,4605,3518,4486,2815,4154,6014,2609,32458,6232,13356,24178,9955,21316,7739,1225,594
"Johnson County PUMA, Texas",170977,6600,6259,2285,2413,3733,4788,2840,1962,2084,4556,4121,4820,4841,4995,5742,2158,38157,8441,8929,22634,8775,13439,5203,619,583
"Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA, Texas",112911,4955,3559,1726,1578,1335,557,1481,2027,1421,4650,1415,1396,3836,3271,3714,2307,18257,2248,6541,14727,7545,14412,7889,1234,830
"Dallas County (Northeast)--Garland City (South) PUMA, Texas",105002,4865,3552,1915,2615,1710,907,1596,1962,2822,5266,2903,3585,3873,4649,4357,1720,19496,1182,6399,10889,5606,9058,2893,660,522
"Dallas County (East)--Mesquite City (Central & Southeast) PUMA, Texas",124855,6111,5742,1876,2702,1790,2569,2145,4362,2544,4862,2906,3532,4399,2858,3822,1659,17689,2171,8811,16979,8121,10326,5807,859,213
"Dallas County (Southeast)--Dallas City (Southeast) PUMA, Texas",118575,5317,6380,2381,1975,3301,2532,3167,2933,1952,5347,3617,3048,8878,5197,6249,2777,23971,4716,5112,11220,3366,4280,624,54,181
"Dallas (East) & Mesquite (West) Cities--South of I-30 & West of I-635 PUMA, Texas",134815,6841,9587,2474,2131,1696,3400,2719,5302,2172,9790,4462,3121,9749,5236,5735,1874,26514,3293,5176,13070,3540,4735,2130,68,0
"Dallas (Northeast) & Mesquite (North) Cities--North of I-30 & West of I-635 PUMA, Texas",129846,7277,5244,3016,3826,1958,1797,3675,1362,2301,4950,2316,2682,4756,1986,1751,2982,21989,2898,2666,12584,3772,19398,10300,3439,921
"Dallas City (Northeast)--East of US-75 PUMA, Texas",125074,7637,6016,2804,1657,2196,2213,1074,1405,1944,2789,1316,1783,3441,4111,1615,3486,17089,2174,3655,16357,8177,20804,7997,2547,787
"Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA, Texas",112560,4214,4717,1699,1896,1451,2411,1921,1260,2146,2384,1979,995,3378,2001,2572,2439,18380,3708,5981,16106,5523,18105,6377,245,672
"Dallas (Far North) & Richardson (Southwest) Cities PUMA, Texas",136577,5646,5745,2342,1528,2276,1759,2491,914,2373,5290,3200,2171,4807,3563,2372,885,13976,1426,3614,16149,6045,29656,13280,3706,1363
"Dallas (Far North), Carrollton (Southeast) Cities & Addison Town--North of I-635 PUMA; Texas",128510,6162,4168,2134,1733,1395,1647,2361,1629,1780,4509,2089,1968,2326,1876,3140,2469,16691,1371,3604,16127,7314,31133,8483,1782,619
"Dallas City (North)--South of I-635 & West of US-75 PUMA, Texas",102625,3475,3008,1779,1561,1439,1325,1633,1242,2144,7623,1754,3475,2923,2773,3079,876,9226,1168,2971,8739,2628,22172,9426,4794,1392
"Dallas (West Central), University Park Cities & Highland Park Town PUMA; Texas",109286,3276,3489,1003,1425,469,991,2245,1206,1471,3189,1342,2139,3085,2153,1837,1005,13195,2213,2907,10036,2198,28186,11244,6821,2161
"Dallas City (Downtown)--North of I-30 PUMA, Texas",119320,3696,3787,714,401,425,1033,956,899,821,2648,754,1895,2383,2435,1940,1016,8939,1632,3638,12671,3753,39587,15422,5763,2112
"Dallas City (East Central)--South of I-30 & East of I-35E PUMA, Texas",140712,4680,9290,1807,1588,2552,3093,4405,2980,3138,7537,2853,6192,5815,5473,5717,2980,30574,4881,4131,19624,3176,6120,1677,311,118
"Dallas City (West Central)--East of Loop TX-12 & West of I-35E PUMA, Texas",122309,5469,7370,2130,2053,2714,3693,3028,3841,3430,5170,2660,6007,5621,3220,6011,1818,24434,3029,5618,8852,2569,8283,3576,964,749
"Dallas City (South Central)--North of I-20 & West of I-35E PUMA, Texas",119009,5247,6661,1403,2283,1135,2894,1861,2733,2507,7199,1939,4324,4889,3376,4672,1098,27527,2915,5069,12936,4757,8815,2110,255,404
"Dallas County (South)--DeSoto & Lancaster Cities PUMA, Texas",109993,6192,3149,1063,2006,2036,2907,1721,1922,1532,2197,2227,2252,2455,3265,2615,1177,18416,2691,7070,16525,5663,14094,5308,484,1026
"Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA, Texas",115121,5565,7352,2138,811,1927,1576,1927,1233,2077,2389,1833,1593,2538,1960,2987,1817,20236,3091,6059,18453,7580,12347,6247,1020,365
"Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA, Texas",117366,3991,6600,911,1916,1524,3487,2518,2546,3566,3165,3541,4582,7143,3811,3686,1377,22360,4347,4705,15209,4518,8828,2500,237,298
"Dallas County (West)--Irving (South) & Grand Prairie (North) Cities PUMA, Texas",111885,5507,5613,1154,1879,2920,2625,2905,2786,3783,5964,2183,3990,9829,3598,4328,1271,22397,2305,4684,8971,4604,6820,1585,30,154
"Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA, Texas",120153,6077,5650,1650,2151,1704,2426,2860,1524,2763,2119,2352,2536,5337,2176,2591,1112,18135,2572,7084,11417,6400,20067,8015,639,796
"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA; Texas",122388,5478,3999,1344,2077,1945,1635,1573,2286,2268,4253,2228,1631,1288,2845,2586,1176,9554,1509,3762,11281,4718,30103,17501,4063,1285
"Parker County PUMA, Texas",138124,5556,3446,1720,1996,1868,2454,1572,3472,2096,2237,1918,2938,2181,4232,4832,2519,26288,8018,6287,15044,11027,16926,7159,1514,824
"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA; Texas",124204,3428,2915,3082,1770,725,852,1492,2903,2130,770,3037,1501,3314,3152,4792,1045,10877,1239,5098,12563,6785,30919,14224,4182,1409
"Tarrant County (East)--Euless (South & West) & Arlington (North) Cities PUMA, Texas",135805,6113,3942,2575,1297,1357,1982,1532,2028,1041,2583,2272,1747,2313,1154,2114,1360,19534,3012,7434,21608,7640,28177,10530,1407,1053
"Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA, Texas",139620,6650,8272,1328,2589,2772,1837,3307,2804,3622,5381,2516,4186,5724,5908,6107,1665,26526,4317,5492,18671,5371,10436,2881,742,516
"Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA, Texas",110664,4425,5133,1257,1943,759,1610,1719,1425,1214,2533,2963,2340,3725,1753,3516,1921,21149,2582,4350,17777,6653,13010,6060,674,173
"Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA, Texas",123303,4447,4005,1362,2084,2259,2595,2168,2086,2190,2116,1828,2442,3306,2249,3137,1666,15256,2440,7160,16599,8414,21588,8751,1492,1663
"Tarrant County (South Central)--Fort Worth City (Southeast)--South of I-20 PUMA, Texas",138759,5981,5436,1494,1607,2619,1246,4065,2050,2440,4535,2887,4644,5107,2944,2451,1091,28704,4934,7432,17732,9206,13298,5855,516,485
"Tarrant County (East)--Arlington City (West)--South of I-30 & East of Loop I-820 PUMA, Texas",122727,4769,4193,1724,2292,2231,2563,2056,1723,1383,3733,1852,4014,3623,1241,4154,1167,19006,3887,5182,16682,6795,20245,6251,812,1149
"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA; Texas",130639,6100,9919,1548,2582,2578,2867,3800,3692,3509,5291,4113,4567,8096,5284,5929,3082,24949,4014,5725,10974,5344,4812,1073,669,122
"Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA, Texas",147233,6523,6683,2081,2560,1482,1967,2235,2057,1958,3075,3326,2419,4440,3516,3742,2333,27776,4194,9234,19456,8262,19960,6441,1005,508
"Tarrant County (North)--North Richland Hills (North) & Keller Cities PUMA, Texas",124629,4786,3259,2435,1509,2158,1693,2639,1993,2275,2649,1977,2690,1898,2763,3261,1474,16248,2995,7148,13979,7575,26338,7972,1382,1533
"Fort Worth City (North)--East of I-35W & West of US-377 PUMA, Texas",125917,7259,4286,3323,2390,1715,1171,1935,2217,2004,1656,2984,1870,2710,2280,3111,1774,16945,1418,5603,17650,8331,25293,7418,132,442
"Fort Worth City (North Central) & Haltom City (North)--Inside Loop I-820 PUMA, Texas",115614,5738,6244,1451,1364,1285,1597,3779,2419,3629,3945,1608,2673,6812,5864,2182,2444,25560,4875,5006,10904,5032,9802,982,329,90
