Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Boone & Hamilton (Northwest) Counties PUMA, Indiana",132039,5297,3595,4262,1398,2249,1955,2167,3103,1879,1386,2949,3353,4259,2406,3410,1526,18124,3406,5431,11713,5473,29496,9444,3043,715
"Hamilton County (Central)--Carmel City & Fishers Town (West) PUMA, Indiana",135249,4543,2073,2147,1199,1410,2486,968,2402,2222,2144,2652,2832,1682,2922,3771,1524,10435,1065,2878,10423,5341,39115,19626,6384,3005
"Hamilton County (East)--Noblesville City & Fishers Town (East) PUMA, Indiana",129899,5232,3757,3613,1540,2599,2164,2428,1796,2932,2176,2586,1681,2694,2630,2576,1604,16527,1519,6631,11072,8170,28291,12831,2344,506
"Madison County--Anderson City PUMA, Indiana",129425,5281,3169,1479,1693,928,1218,1425,2079,1571,2052,2708,2856,2924,3449,4506,3245,34284,6538,7350,15774,8853,10960,3972,577,534
"Morgan, Putnam & Brown Counties PUMA; Indiana",122843,3919,3426,1367,1208,973,1315,1637,2925,1947,2185,1633,2908,2812,4498,4388,1759,30348,4398,9285,12529,9132,11857,5093,370,931
"Hendricks County PUMA, Indiana",167111,5502,4032,3002,2808,3208,2100,2795,2682,1842,3265,1530,3993,3396,3663,4490,6302,25410,4863,7670,20283,8409,30906,11025,1729,2206
"Marion County--Pike & Washington (Northwest) Townships--Indianapolis City (Northwest) PUMA, Indiana",111833,4516,4052,929,1707,1347,2317,1791,1569,1749,2762,3719,1561,1814,2761,2818,1531,16985,2374,6537,14189,5609,20112,6142,1789,1153
"Marion County--Washington Township (South & East)--Indianapolis City (North) PUMA, Indiana",109990,5199,4133,1788,2789,1369,888,1495,917,1511,1580,897,2162,1352,1329,2206,1204,9820,2010,5194,13189,4859,28215,11267,3328,1289
"Marion County--Lawrence Township--Indianapolis (Northeast) & Lawrence Cities PUMA, Indiana",125696,7628,4845,2208,2377,1369,1622,1884,936,3380,3665,1441,2630,2109,3466,3903,1151,18368,3332,7279,12169,8824,21394,7633,1674,409
"Marion County--Wayne & Decatur (Northwest) Townships--Indianapolis City (West) PUMA, Indiana",147067,6881,6622,2693,2049,2540,2443,2268,2462,1755,3472,3353,4517,5194,7253,4271,3719,30994,6222,6279,15667,8967,12926,3070,735,715
"Marion County--Center Township--Indianapolis City (Central) PUMA, Indiana",149111,6173,7405,2398,1822,1540,2101,3145,2634,1766,3637,1757,3600,5445,6036,5602,2277,28427,6243,5866,12687,6767,20583,7728,2599,873
"Marion County--Warren & Franklin Townships--Indianapolis City (East & Southeast) PUMA, Indiana",163235,7039,4120,2087,1444,2652,3383,2923,2682,2335,2415,1839,2523,5046,4446,3912,2761,39225,4152,8902,16057,9964,24340,7766,993,229
"Marion County--Perry & Decatur (South & East) Townships--Indianapolis City (South) PUMA, Indiana",147413,6165,5865,1312,1672,3017,2197,1549,2040,2871,2367,2913,4409,2425,3953,4683,1534,32723,5250,8429,20926,7146,16781,5877,640,669
"Johnson County--Greenwood City PUMA, Indiana",156224,5782,3963,2523,2107,3464,1739,3025,2389,1784,1866,3270,2871,3233,4566,4076,2159,35340,4696,9626,14842,11821,22423,7461,1009,189
"Hancock & Shelby Counties PUMA, Indiana",121015,4900,1726,1740,1903,1002,1390,1737,1007,1849,2459,1419,3482,3899,2206,3554,1790,27997,7437,6915,10696,6680,17764,6317,1041,105
