Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Wyandotte County--Kansas City PUMA, Kansas",165050,7020,9295,3082,2898,3091,3061,3551,2422,3352,5797,2664,5142,6761,5484,5705,3502,30048,8032,8768,18087,8581,12563,4362,990,792
"Johnson County (Northwest)--Shawnee, Lenexa & De Soto Cities PUMA; Kansas",123032,4367,4264,1672,2711,2009,1328,1889,921,1072,2127,1295,2866,1114,1986,2459,1299,14222,2974,6410,12066,8470,29479,11710,3120,1202
"Johnson County (Northeast)--Overland Park (North), Prairie Village & Merriam Cities PUMA; Kansas",150898,5308,3359,2198,2320,1351,899,1706,1239,2423,2232,850,2825,3064,3108,1707,1067,19011,1877,8741,14945,8473,38029,16317,4896,2953
"Johnson County (Southwest)--Olathe, Gardner, Spring Hill & Edgerton Cities PUMA; Kansas",170945,6583,7565,3501,3691,2480,3181,2538,3409,4052,3936,3014,1574,3864,2707,3867,1888,22748,2638,9525,17676,11388,35937,10736,1282,1165
"Johnson County (Southeast)--Blue Valley Region PUMA, Kansas",152442,4162,3271,3263,1971,1282,1463,2496,1382,2617,3119,2734,2363,2514,3047,2726,613,9742,703,4797,13365,7273,46976,21144,6282,3137
"Johnson, Lafayette, Ray, Clinton & Caldwell Counties PUMA; Missouri",138059,4643,4024,2989,1554,1586,1059,2011,1906,1879,1668,1220,3383,5488,2797,2228,1468,37953,3960,9076,18088,6717,13873,6714,1113,662
"Clay County (Northeast) PUMA, Missouri",116812,3921,3542,1428,1906,1405,1705,2239,2689,1795,1972,3350,2697,2394,2388,3790,1096,20095,2502,8655,13052,4843,20084,6505,987,1772
"Kansas City (North Central), Gladstone City & North Kansas City PUMA; Missouri",119371,4133,4680,1053,711,1746,1916,1560,1749,1023,1582,1753,1528,2030,2421,2435,3042,26176,3237,7659,15910,7021,17614,6129,1562,701
"Platte County PUMA, Missouri",113023,4390,2612,2757,999,1565,1391,1418,2182,1651,1967,837,1302,1431,1725,3607,860,22196,1717,6672,11058,6666,21749,9303,1410,1558
"Jackson County--Kansas City (Central) PUMA, Missouri",182330,4652,10313,3597,2785,2227,3067,2980,2610,1696,4692,2075,4123,3490,4448,5532,4105,33836,5163,8608,21175,7045,27506,11945,3399,1261
"Jackson County (North Central) PUMA, Missouri",128110,2835,4936,1914,1654,1555,1666,1770,619,2243,1846,1134,4075,1667,3458,3323,3009,30421,4904,8012,19287,6796,15053,5435,242,256
"Jackson County (East) PUMA, Missouri",138686,6390,3102,3182,1401,1786,3426,2451,3588,2290,2253,2400,2640,4165,3171,2384,827,28105,5821,9697,18033,7648,14924,7732,880,390
"Jackson County (South Central) PUMA, Missouri",108250,3789,1758,2704,1186,1013,1107,2136,1863,1079,1712,2211,1070,1982,2201,3655,465,12792,2319,6250,15148,5312,22468,10809,2318,903
"Jackson County--Kansas City (South) PUMA, Missouri",144033,5854,6945,1224,1575,1306,2685,1149,1753,941,1662,1200,901,2538,2966,3626,2328,30671,3542,6459,22806,9570,20344,8366,1998,1624
"Cass & Bates Counties PUMA, Missouri",121251,4611,3608,1274,2124,1866,2343,1874,1760,1208,1902,1567,2399,2550,2897,2219,1708,31639,1963,11066,13132,6568,14132,5747,401,693
