Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Clark County (Northwest Central)--Northwest Las Vegas Valley PUMA, Nevada",157211,8225,5548,2146,2042,2135,2077,1687,3344,2248,2990,2048,3606,1849,3453,5512,4369,25035,5249,9203,21405,11307,22177,7554,1330,672
"Clark County (North)--Las Vegas (Northeast) & North Las Vegas (Outer) Cities PUMA, Nevada",143606,4899,5590,1031,2158,1258,1689,1420,2103,3103,2213,2658,3365,3420,2343,4188,2197,30366,4871,7184,23945,7989,15418,8309,1746,143
"Clark County (Central)--Greater North Las Vegas City PUMA, Nevada",199674,7136,11300,2961,2966,3429,3406,4787,5129,4020,7184,4185,5795,6869,6094,8098,5558,37236,4849,9465,26479,10485,15721,5414,900,208
"Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PUMA; Nevada",160270,8087,10364,984,1993,2642,3332,2241,3164,3307,6425,3928,4806,5131,6537,6792,4361,32912,5344,8845,19750,6269,8887,3327,504,338
"Las Vegas City (Southeast) PUMA, Nevada",129996,4854,9293,964,1771,2131,2773,2315,2498,3098,7469,2810,4577,5812,4963,5947,5267,28562,3906,3421,15162,4214,6050,1267,565,307
"Las Vegas City (South Central) PUMA, Nevada",138877,5192,8932,896,1912,1803,2088,1909,1430,2110,6056,2525,3542,2849,2552,5863,5356,33110,4192,7853,18011,7694,8940,2957,984,121
"Clark County (West)--Las Vegas City (Southwest) PUMA, Nevada",160393,2243,4609,2004,1111,1962,1073,2512,1682,2636,1904,1831,3456,3059,3494,2777,3471,30956,4047,9250,22319,9580,26673,9361,5430,2953
"Clark County (Central)--Spring Valley & Summerlin South PUMA, Nevada",248442,8688,9611,3785,3282,2524,4914,2133,4119,3000,4563,2890,4053,2720,2822,5603,8278,43123,8038,14574,40136,15462,36516,11245,4860,1503
"Clark County (Central)--Paradise (Northwest) & Winchester PUMA, Nevada",158565,5048,6803,1249,1068,1465,1191,3003,2377,2004,5344,1933,3488,5107,2687,3398,4434,38978,4392,10438,23933,7433,16543,3832,1306,1111
"Clark County (Central)--Whitney, Sunrise Manor (South) & Paradise (Northeast) PUMA; Nevada",137996,5446,6688,625,2593,1217,2556,1202,2165,2608,3263,2265,3433,3860,4428,5005,5736,31320,5456,9186,17202,6903,10928,3078,435,398
"Clark County (Central)--Henderson City (West) PUMA, Nevada",238917,5707,5880,3471,2257,2868,2938,2446,2816,2562,3891,3197,3740,3658,4703,4982,3440,41624,5613,16381,37585,16764,35859,19470,4211,2854
"Clark County (South)--Henderson (East) & Boulder Cities PUMA, Nevada",182901,7879,5403,2503,2458,2600,1797,1468,2795,2060,3173,3138,4020,2130,3425,3734,4371,36721,5193,13088,23591,12742,25989,7609,2855,2159
"Clark County (Central)--Paradise (South) & Enterprise PUMA, Nevada",175019,4562,7425,2750,2416,1339,1553,2302,2150,2975,3352,2119,3243,3745,3506,2634,1869,33739,4934,12687,29019,10046,26857,6187,2564,1046
