Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Washington & Ozaukee Counties PUMA, Wisconsin",224684,7018,4371,4546,2224,2930,1284,2088,3470,2566,3507,4761,3192,3222,4667,5173,1864,46886,3763,10878,22947,17388,42262,16466,4957,2254
"Milwaukee County (Northeast) PUMA, Wisconsin",112593,3656,3400,1200,2629,1110,1299,371,1168,1537,1186,498,1299,1144,1611,930,295,8934,689,3424,14702,4786,32342,17137,4933,2313
"Milwaukee County (South) PUMA, Wisconsin",119504,3405,3578,612,2662,759,1449,714,1673,784,956,1652,1446,2268,1139,1989,1856,31413,2696,8423,14524,7450,19337,5997,1448,1274
"Milwaukee County (West) PUMA, Wisconsin",166823,7673,3272,1535,2838,2160,627,2371,2191,2664,2044,1779,1882,2412,3746,2508,802,32795,3710,6475,20525,13577,31145,12338,4130,1624
"Milwaukee City (North) PUMA, Wisconsin",116695,9238,6473,313,3486,2716,1040,1894,2968,2709,1929,1596,1145,2540,2410,3937,3781,28125,4153,5462,14621,7964,4510,3196,324,165
"Milwaukee City (North Central) PUMA, Wisconsin",119024,4416,5841,1958,2628,1283,1735,3666,1860,1351,1894,3223,2435,2474,3240,6626,2356,22032,1943,4617,17092,6088,11854,7537,340,535
"Milwaukee City (Central) PUMA, Wisconsin",93836,4149,3351,1029,2355,1327,267,1058,1374,2210,1781,2147,1925,2783,2567,4434,1562,19912,3110,3492,14469,3478,9114,4094,1078,770
"Milwaukee City (South Central) PUMA, Wisconsin",98900,3948,5063,1838,3198,1197,2186,1106,1409,2879,2072,3234,3117,6369,3652,4075,2397,18117,4134,4602,9491,4419,7527,2335,230,305
"Milwaukee City (South) PUMA, Wisconsin",120560,5285,6153,1426,1241,2524,1580,2029,1019,363,2645,2024,2013,2701,4983,2959,1969,24369,3818,7104,12190,8574,16016,6149,577,849
"Waukesha County (West) PUMA, Wisconsin",118597,2807,2071,1485,2042,1667,1317,1668,1631,1572,2277,1562,1990,1760,2592,2312,1894,19907,1319,6243,13993,7809,26641,6894,3026,2118
"Waukesha County (East) PUMA, Wisconsin",158155,4387,2076,3837,1468,1473,1420,1833,1946,1661,2138,3251,2352,2024,3365,2698,1334,27762,2142,7665,17958,10740,33421,13921,4901,2382
"Waukesha County (Central) PUMA, Wisconsin",126085,4102,2947,2015,1134,1397,1458,1275,1016,1493,1679,1927,1642,1815,2414,2908,1848,25753,1274,7344,11727,10825,26852,9247,1334,659
