Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Washington & Ozaukee Counties PUMA, Wisconsin",94984,93751.7669,3097.65933,5.81252632
"Milwaukee County (Northeast) PUMA, Wisconsin",56684,83837.6598,3133.09078,15.7075894
"Milwaukee County (South) PUMA, Wisconsin",51881,76507.0621,2858.43422,12.6300958
"Milwaukee County (West) PUMA, Wisconsin",78484,70483.4574,2342.36723,14.1075761
"Milwaukee City (North) PUMA, Wisconsin",44161,41409.1574,996.808768,23.1985915
"Milwaukee City (North Central) PUMA, Wisconsin",51467,45105.7073,1143.98387,19.9376688
"Milwaukee City (Central) PUMA, Wisconsin",47726,20462.4511,495.022042,27.622449
"Milwaukee City (South Central) PUMA, Wisconsin",38237,39672.2092,910.203049,17.8711457
"Milwaukee City (South) PUMA, Wisconsin",50945,61101.9751,2199.8666,11.0254588
"Waukesha County (West) PUMA, Wisconsin",48101,114419.607,3627.69747,5.68555747
"Waukesha County (East) PUMA, Wisconsin",66236,99934.5542,3458.43058,7.52394468
"Waukesha County (Central) PUMA, Wisconsin",52325,89497.8154,2654.41844,10.1933684
