Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Robertson, Dickson, Cheatham & Hickman Counties PUMA; Tennessee",190350,6604,6795,1499,2447,2404,2272,2602,2927,3351,2599,4005,4748,6174,4971,6603,2637,50354,9292,10607,22451,10939,16602,5920,1052,495
"Sumner County--Hendersonville City PUMA, Tennessee",187026,7352,4845,2727,2612,3014,3375,2081,3263,1710,3321,2590,5923,5178,4465,3978,2496,38028,7475,11879,25901,9135,24573,8141,2242,722
"Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties PUMA; Tennessee",131837,5697,3032,972,1704,2585,2108,1821,1660,2039,2319,2217,5583,3994,5063,6343,4610,32956,10219,5857,10418,6976,8967,3290,914,493
"Wilson County--Lebanon & Mount Juliet Cities PUMA, Tennessee",140356,4606,3793,2129,2300,2114,1175,2687,1263,2197,2075,2802,3535,3181,2800,3636,2122,26720,5869,6967,15728,8554,22383,8807,1786,1127
"Rutherford County (North)--Smyrna Town & La Vergne City PUMA, Tennessee",152249,6415,7547,3321,2570,1297,2508,2825,2388,3094,3335,1897,3801,3248,3819,4881,1785,32583,4722,6644,19999,8577,18309,5877,607,200
"Rutherford County (South)--Murfreesboro City PUMA, Tennessee",172525,5594,5169,2385,4175,1480,2558,1916,1367,2006,2551,1775,2033,1682,4210,5727,1627,30429,5379,10487,27259,8230,30446,10081,1853,2106
"Nashville-Davidson (East) PUMA, Tennessee",178298,6821,8533,1879,3518,2090,2061,2541,2233,3463,1678,2274,3943,4501,3211,3306,2437,34078,5705,8512,22799,11616,28201,9352,2424,1122
"Nashville-Davidson (North) PUMA, Tennessee",111036,4157,4000,1978,1086,956,2087,2064,871,1365,1464,1591,1144,3090,3187,3756,2438,23419,6853,6111,13315,6768,13991,3682,1074,589
"Nashville-Davidson (Central) PUMA, Tennessee",126901,4786,5591,1708,1060,942,1613,2684,1069,1716,2691,1095,1645,2610,4419,3379,683,20781,3653,5296,16874,4154,27850,6968,2128,1506
"Nashville-Davidson (Southeast) PUMA, Tennessee",123450,5964,7790,1575,1347,1652,1152,2060,1848,2693,3353,1797,1691,3261,2123,2258,2986,18135,2055,3011,14641,6041,23150,9585,2184,1098
"Nashville-Davidson (Southwest) PUMA, Tennessee",153741,4264,3374,2228,1320,1064,1048,1040,1501,1250,1398,1298,1532,1695,2223,1822,1731,13028,2058,4873,22651,5446,43557,18573,8406,6361
"Williamson County--Franklin & Brentwood Cities PUMA, Tennessee",231408,6997,3587,6341,3934,2418,4364,4362,3620,3072,4674,5612,6116,4931,4071,6407,1711,20291,3465,6346,21175,8183,66834,22965,4788,5144
"Maury, Bedford & Marshall Counties PUMA; Tennessee",176936,7446,7573,3356,1658,2333,1939,3179,3246,2541,2366,2859,4243,3469,5724,4793,2301,43331,9227,10251,19673,11799,16078,4830,2008,713
