Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA; Arkansas",92961,56745.4127,785.7823066,12.57082002
"Pulaski County (Central)--Little Rock City PUMA, Arkansas",93006,60553.5385,968.4450466,12.31462486
"Faulkner & Lonoke Counties PUMA, Arkansas",80267,55029.4473,628.1414654,10.34947114
"Saline County PUMA, Arkansas",49326,59961.2865,987.5884726,4.915764506
"Pope, Johnson, Yell, Conway & Perry Counties PUMA; Arkansas",62746,33293.6877,406.7186275,7.089264654
"Jefferson, Grant & Arkansas (Northwest) Counties PUMA; Arkansas",47096,28459.0912,357.0218065,10.51730508
"Regional Planning Commission 1--St. Tammany Parish (Northwest) PUMA, Louisiana",55781,88198.3959,1734.105412,6.264606228
"Regional Planning Commission 2--St. Tammany Parish (Southeast) PUMA, Louisiana",49057,60117.9224,1000.611004,8.582057606
"Regional Planning Commission 3--Jefferson Parish (North) PUMA, Louisiana",48055,56662.9658,596.5695141,14.78214546
"Regional Planning Commission 4--Jefferson Parish (Central) PUMA, Louisiana",63985,67457.6678,819.4169727,13.3544737
"Regional Planning Commission 5--Jefferson Parish (West Bank) PUMA, Louisiana",55834,45549.8755,395.4163771,15.91899201
"Regional Planning Commission 6--New Orleans City (Northeast) PUMA, Louisiana",65440,43898.1745,974.5668704,17.52987469
"Regional Planning Commission 7--New Orleans City (Central) PUMA, Louisiana",64149,25882.5095,644.2983211,19.43306988
"Regional Planning Commission 8--New Orleans City (South) PUMA, Louisiana",62031,55919.9331,1558.336461,14.70995148
"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA; Louisiana",48351,50569.7969,645.4605903,8.317035842
"Lexington (South & West) & Saluda Counties--Lexington Town & Red Bank PUMA, South Carolina",76473,59577.2545,778.4854785,5.847619421
"Lexington County (North & East)--West Columbia, Cayce Cities, Irmo Town & Seven Oaks PUMA; South Carolina",59751,62382.6279,691.8778598,11.0078325
"Richland (North) & Fairfield Counties--Forest Acres City & Dentsville PUMA, South Carolina",81244,58035.9864,1008.825698,9.241310128
"Richland County (Central)--Columbia City PUMA, South Carolina",92305,47226.7432,640.9220627,19.24807974
"Kershaw, Richland (South) & Calhoun Counties PUMA; South Carolina",49317,37072.7891,543.3136038,5.406959061
