Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Canadian County--Oklahoma City (West) PUMA, Oklahoma",144438,5742,3794,2995,2145,2123,2400,2480,2063,4094,2025,2047,2147,2794,3764,2427,2280,29472,4481,8423,15848,10755,20567,7608,1247,717
"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA; Oklahoma",281358,7342,9368,4469,4324,5801,2215,3025,3275,3365,3688,3560,6714,3595,4916,5978,3579,52050,9489,27677,46311,11890,35431,16482,3649,3165
"Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA, Oklahoma",112868,5168,6109,1895,1909,1481,2260,3757,3606,2765,7198,3285,4493,2655,4103,3662,1943,21506,3471,7090,9767,4319,7256,1345,539,1286
"Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA, Oklahoma",168371,9298,6691,4061,1985,2471,1770,3205,2039,1649,3458,2790,3576,3311,3750,5382,2742,26459,3270,9643,19948,8011,27949,10676,3054,1183
"Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA, Oklahoma",160212,7506,4899,3001,3221,1755,3336,2589,3380,2223,3349,2349,1409,2495,2641,2855,939,18866,670,6209,20902,8187,33153,17582,4410,2286
"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA; Oklahoma",119774,4670,4023,1368,1491,1921,2198,1241,1273,1842,1399,855,2890,2666,2727,3577,1201,28941,3144,9337,14051,8787,14901,4132,746,393
"Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA, Oklahoma",118575,6699,4753,2924,2877,1122,1335,2414,1798,1400,3975,1931,3782,4074,3422,4974,1825,23970,3733,8339,13239,6381,8916,3982,372,338
"Oklahoma County (Central)--Oklahoma City (Central) PUMA, Oklahoma",113395,2727,3820,1405,2104,1757,1401,2040,1443,3205,2312,1053,2643,1621,1839,2298,2008,16579,3566,5519,16821,4449,19074,8995,3111,1605
"Grady, McClain & Pottawatomie (South) Counties PUMA; Oklahoma",114084,3838,2383,1431,2253,1228,3345,1568,2304,1760,2273,1581,1857,3349,2824,3386,1439,29278,3869,7540,12287,5795,12073,4564,1006,853
"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA; Oklahoma",136484,5356,3148,2022,1405,3703,1039,1907,1528,3136,1740,1772,2274,3936,4010,4878,2149,29148,6362,8191,19138,9775,13399,4794,1195,479
