Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Canadian County--Oklahoma City (West) PUMA, Oklahoma",48974,76961.6107,1326.71869,5.59172214
"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA; Oklahoma",116901,73722.5943,1286.58701,12.7138861
"Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA, Oklahoma",45436,31571.1099,399.322652,15.8237301
"Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA, Oklahoma",74424,66790.7549,1342.03651,12.2402451
"Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA, Oklahoma",64720,99580.4801,1880.74969,13.9511434
"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA; Oklahoma",52611,57919.7459,1007.21227,11.7974188
"Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA, Oklahoma",46167,45089.4994,798.668941,10.5376784
"Oklahoma County (Central)--Oklahoma City (Central) PUMA, Oklahoma",58190,49522.9926,933.668586,15.3714212
"Grady, McClain & Pottawatomie (South) Counties PUMA; Oklahoma",46524,58754.496,906.513692,5.96603903
"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA; Oklahoma",55467,56492.6811,851.985577,7.25557539
