Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Maricopa County--Gilbert (South) & Queen Creek Towns PUMA, Arizona",165341,6129,5449,3279,2958,3120,3106,3073,2905,4477,3556,4219,4336,3703,3492,3873,1244,19408,2802,7700,18181,10130,31283,10974,3246,2698
"Maricopa County--Mesa City (East) PUMA, Arizona",166164,5497,4487,1813,1580,1855,2899,1575,3376,2465,1995,1696,3178,2535,2206,4632,3193,27408,4105,12362,27805,11261,25887,8679,2476,1199
"Maricopa County--Mesa City (North Central) PUMA, Arizona",151481,6061,4412,2937,1812,2587,1830,3739,2542,3160,3675,1952,2772,2864,1997,4498,2072,23503,4150,10099,23978,9998,19797,7666,2174,1206
"Maricopa County--Mesa City (West) PUMA, Arizona",120088,6434,6756,834,1362,1821,1786,1245,2329,1779,3208,2861,3387,4124,1695,3705,2759,24517,2780,5869,18694,5844,11155,4310,348,486
"Maricopa County--Mesa City (South Central) PUMA, Arizona",120144,5973,6151,1630,1645,1546,1316,2436,1251,790,3343,1238,3120,3927,2854,2864,2197,19461,4073,8710,19081,8024,12662,4782,703,367
"Maricopa County--Gilbert Town (North) PUMA, Arizona",141283,6062,3604,3026,2318,2245,2845,3089,1838,1892,1879,2852,3047,3196,1614,4899,1814,15999,2818,8476,19144,10691,25698,9708,1470,1059
"Maricopa County--Chandler City (Northeast) PUMA, Arizona",116977,4498,3973,1597,1180,1166,1403,1884,1112,1214,3040,1946,1828,1482,3893,3216,1399,19139,2927,6145,14843,9047,20613,6959,1651,822
"Maricopa County--Chandler City (South) PUMA, Arizona",117217,3355,2858,1942,1198,1501,1797,2118,1614,2745,1597,1865,1809,2483,1526,2361,848,15421,1108,6028,12814,5953,25873,13937,2314,2152
"Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA, Arizona",113718,4747,2021,1839,1170,1242,1503,1228,1302,1812,1445,847,3386,1665,1934,2753,1229,11284,1944,5344,17433,6810,25360,11235,1711,2474
"Maricopa County--Tempe City (North) PUMA, Arizona",120627,1963,2505,1250,485,275,726,1427,682,685,2243,639,1601,2766,2310,1884,1371,13652,1725,7161,29302,10029,22132,9905,1442,2467
