Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Maricopa County--Gilbert (South) & Queen Creek Towns PUMA, Arizona",51841,112954.3458,2153.625625,4.887830096
"Maricopa County--Mesa City (East) PUMA, Arizona",80469,52818.88479,951.2576147,6.097615231
"Maricopa County--Mesa City (North Central) PUMA, Arizona",58985,73840.19463,986.9820124,10.84697805
"Maricopa County--Mesa City (West) PUMA, Arizona",47543,47956.87273,406.9022569,20.45872158
"Maricopa County--Mesa City (South Central) PUMA, Arizona",56013,37162.77168,484.7750879,13.11650867
"Maricopa County--Gilbert Town (North) PUMA, Arizona",48673,100628.5185,1434.21441,8.50892692
"Maricopa County--Chandler City (Northeast) PUMA, Arizona",45894,75467.2297,853.3668235,14.76219114
"Maricopa County--Chandler City (South) PUMA, Arizona",47749,102019.3404,1815.831703,7.170747031
"Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA, Arizona",45499,91903.7469,1277.572584,12.17560826
"Maricopa County--Tempe City (North) PUMA, Arizona",50431,55289.47433,400.904404,21.30483235
"Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA, Arizona",76991,94138.49982,1486.727332,10.85104753
"Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA, Arizona",62187,102434.3528,1871.794732,6.095679161
"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA; Arizona",62149,108733.7294,2074.921157,5.00973467
"Phoenix City (Northeast) PUMA, Arizona",50095,89493.14882,1542.697495,10.77977842
"Phoenix City (Northeast Central) PUMA, Arizona",49704,68039.32923,877.7705014,13.60385482
"Phoenix City (Northwest Central) PUMA, Arizona",46002,57338.44833,732.2355332,18.14990653
"Phoenix City (Uptown) PUMA, Arizona",54908,60652.42897,837.0704269,19.99056604
"Phoenix City (East) PUMA, Arizona",53569,84361.99854,1286.84618,16.06509362
"Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",57269,42847.29347,420.1200824,22.60098832
"Phoenix City (South) PUMA, Arizona",35243,55651.09724,578.4417615,15.36015663
"Phoenix City--Ahwatukee & South Mountain PUMA, Arizona",44593,95687.37762,1454.728164,9.334245285
"Phoenix (Southwest) & Tolleson Cities PUMA, Arizona",41343,61681.90262,867.3714051,11.14969886
"Phoenix City--Maryvale (East) PUMA, Arizona",32244,44945.66555,476.1265972,20.47152959
"Phoenix City--Maryvale (West) PUMA, Arizona",37316,54238.13378,569.0050916,14.8168882
"Maricopa County--Glendale City (South) PUMA, Arizona",38642,47712.31846,654.8174525,16.45427255
"Phoenix City (West) PUMA, Arizona",41070,55344.33577,678.2034575,13.29030923
"Maricopa County--Glendale City (North) PUMA, Arizona",50713,69761.52265,1001.960543,11.97785578
"Maricopa County--Peoria City (South & Central) PUMA, Arizona",44571,65278.78374,1018.576698,9.664669853
"Phoenix City (North) PUMA, Arizona",40759,73221.0908,1096.600137,9.696950367
"Phoenix (Far North) & Peoria (Northwest) Cities PUMA, Arizona",49911,102838.3252,1712.80894,6.883512653
"Maricopa County--El Mirage City & Sun City PUMA, Arizona",68837,40378.90466,708.037843,7.669843253
"Maricopa County--Surprise City (Central) PUMA, Arizona",50468,67872.68883,1229.560573,6.304569232
"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA; Arizona",47307,87637.07231,1550.665187,5.234172533
"Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA, Arizona",41172,67171.65841,878.1215632,14.67242301
"Maricopa County (West) & Gila River Indian Community (Northwest) PUMA, Arizona",52821,67223.81458,1344.279908,3.502035175
"Pinal County (North)--Apache Junction City PUMA, Arizona",67199,52330.03869,1061.395065,4.576213932
"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA; Arizona",49316,44649.18647,1074.432355,4.926940547
"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA; Arizona",55329,47628.70845,761.3917475,7.448047136
