Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Lawrence & Beaver (North) Counties--New Castle City PUMA, Pennsylvania",100560,3223,1441,1523,1059,533,1230,1229,1089,1041,1546,1151,2503,2925,3013,2225,744,30719,3296,5512,9660,8661,12506,2670,719,342
"Beaver County (South) PUMA, Pennsylvania",150428,5559,2828,3124,1587,2027,1208,1589,1104,2066,1917,1733,2161,2452,4128,3238,1178,42557,5373,8073,17767,13304,17672,6412,722,649
"Butler County PUMA, Pennsylvania",187815,4672,4908,3443,2491,1534,1811,3030,2740,2708,2061,1502,3252,3009,3727,4368,1668,45026,4993,8530,15930,13697,33512,14870,2953,1380
"Pittsburgh City (North) PUMA, Pennsylvania",192627,5269,2917,3362,1829,931,1273,1562,890,2339,1400,1191,2092,2281,3416,3209,1201,33481,5425,9163,26982,8494,41076,20051,6948,5845
"Pittsburgh City (South) PUMA, Pennsylvania",111095,3804,2162,612,354,1332,771,1997,1485,502,1395,820,1201,1824,1716,3996,856,29220,4210,5700,11685,6911,17314,8809,1324,1095
"Allegheny County (West) PUMA, Pennsylvania",115897,3015,3657,1569,987,3138,1072,1853,1159,1148,1610,952,1107,2327,1275,2125,623,24247,3060,4724,10529,10707,22557,9293,1442,1721
"Allegheny County (North)--Franklin Park Borough & Allison Park PUMA, Pennsylvania",162543,4247,3553,3019,1260,1727,1611,768,3984,1568,3098,3921,3040,3387,3161,4011,997,23468,2930,4371,12503,12686,35949,17046,6451,3787
"Allegheny County (North Central) PUMA, Pennsylvania",122553,3010,1100,1939,688,1812,1153,1409,1643,1892,1459,518,2055,917,1928,1595,393,26355,2557,5442,10372,7026,27827,14111,3193,2159
"Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA; Pennsylvania",171286,3787,4069,3525,1883,1382,1762,1229,1336,1749,2032,1981,3222,2984,4093,3128,2637,35719,3547,10016,15576,17215,28172,15878,2419,1945
"Allegheny County (Southeast)--West Mifflin Borough, McKeesport City & Munhall Borough PUMA; Pennsylvania",105501,3050,2866,1940,1119,832,975,978,749,808,1839,762,1080,1850,3757,2490,1071,30855,3818,6894,11656,9995,11116,4210,619,172
"Allegheny County (South Central)--Baldwin & Whitehall Boroughs PUMA, Pennsylvania",120908,4309,3117,2183,1666,723,1410,2027,909,1227,1175,798,952,943,2267,1774,1149,21005,2902,5521,11982,9449,26804,12828,2388,1400
"Allegheny County (South)--Bethel Park Municipality & Jefferson Hills Borough PUMA, Pennsylvania",115661,4193,3263,2217,2786,1721,1269,1244,897,1562,2758,1037,2678,1667,1480,1628,924,16522,1363,5180,9826,7197,27010,12776,2449,2014
"Indiana & Armstrong Counties PUMA, Pennsylvania",149774,3429,3797,2025,1466,1366,2000,1352,1563,1391,2156,1779,3930,3419,3191,4994,1695,48270,4397,7794,16705,9824,14563,5998,1259,1411
"Westmoreland County (Northwest)--Murrysville Municipality & New Kensington City PUMA, Pennsylvania",98110,2446,1159,2060,1157,1021,684,238,1227,1435,975,1474,1273,1726,2775,2205,1071,23935,2279,4431,11551,8173,13756,8269,1734,1056
"Westmoreland County (Southwest)--Greensburg City PUMA, Pennsylvania",145654,3664,2356,1982,1341,115,2938,1449,1419,2400,2145,1941,1969,1824,3331,2401,1144,40328,4007,7477,16454,11743,20254,8804,3357,811
"Westmoreland County (East) PUMA, Pennsylvania",107702,2589,1726,1939,1536,837,1764,1053,1141,758,1438,1886,1020,962,1477,2259,1099,33958,4260,6538,9796,10078,12827,4495,1659,607
"Fayette County PUMA, Pennsylvania",130563,4148,2998,2630,1157,1241,1115,1575,1097,1067,1859,1963,2479,2986,3369,3988,2250,44067,5822,5896,10548,9057,13552,3920,1234,545
"Washington County (North)--Washington City PUMA, Pennsylvania",145663,3804,2912,2497,1581,1045,1955,2059,1260,2406,1264,1462,2505,2362,2352,3956,886,38057,3421,5769,14709,12294,23820,9581,2624,1082
"Washington (South) & Greene Counties PUMA, Pennsylvania",98199,3209,2393,1277,915,800,1163,1188,1132,493,2468,1163,1599,1809,2202,1736,1054,31624,4177,6584,10571,7212,9483,3112,588,247
