Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Yamhill & Polk Counties PUMA, Oregon",191760,7393,3865,3421,3286,1494,2487,2800,2745,4604,3113,2166,4104,5182,4680,5173,2527,26985,8329,13306,30203,14095,25442,10371,2192,1797
"Portland City (North & Northeast) PUMA, Oregon",123754,3547,3542,2057,1622,1461,1306,1830,1178,1373,1599,1492,1441,838,733,2035,1594,11298,3561,6558,15121,8326,30299,15451,3546,1946
"Portland City (East) PUMA, Oregon",128264,4382,6761,2100,1711,1184,1481,2255,3459,2593,3159,2017,1677,3566,2566,3260,4159,23489,2811,8299,15028,10473,15521,5212,776,325
"Portland City (Southeast) PUMA, Oregon",118104,3351,4918,1636,1210,1610,1550,766,520,719,2221,1875,2286,2403,2213,2164,2233,12923,3767,5904,16884,6378,24546,11916,2370,1741
"Portland City (Central East) PUMA, Oregon",124550,3209,3056,1278,499,1041,525,1390,1550,1513,1499,820,1095,918,1052,1134,961,8692,1991,5420,18051,5776,39524,16353,4201,3002
"Portland City (Northwest & Southwest) PUMA, Oregon",154400,2917,2873,2954,1317,2279,1567,1582,1183,1414,827,1001,1766,1308,2563,1540,634,9696,2101,6722,19755,5979,45041,22430,9742,5209
"Multnomah County (East)--Gresham & Troutdale Cities PUMA, Oregon",162963,5526,7264,2002,2480,2499,1287,2064,2325,3865,3232,1445,3999,4955,4927,3506,1910,31810,6168,12772,23236,11112,16443,6828,756,552
"Clackamas County (South & East)--Damascus City PUMA, Oregon",108682,3390,2891,957,712,952,1340,1365,1848,597,1301,1706,2421,1812,2822,3854,1664,21066,4766,8161,16888,9771,13214,3645,799,740
"Clackamas County (Northwest)--Oregon City, Milwaukie & Happy Valley Cities PUMA; Oregon",187693,6367,5433,3038,2049,1645,2178,2540,2427,2642,3706,3305,3898,4614,2542,5743,3237,28454,6356,11267,23872,13799,33891,10769,2243,1678
"Clackamas County (Northwest)--Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA; Oregon",119412,4198,2485,2690,1429,1035,2046,1296,1283,1825,2137,2193,1344,1427,2187,2035,1118,12480,2305,4938,13150,6421,31077,11761,4077,2475
"Washington County (Southeast)--Tigard, Tualatin & Sherwood Cities PUMA; Oregon",119938,2764,3286,1282,1735,527,1509,1620,1374,2365,1612,1831,1156,3275,2256,2185,1183,14819,3226,5401,16673,10684,26808,9171,2293,903
"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA; Oregon",118678,2901,3245,2351,2656,1458,2247,1506,2181,2044,2299,1923,2141,5529,3187,2890,1471,14758,2204,5361,14575,6692,21628,8182,2319,2930
"Washington County (Central)--Hillsboro City PUMA, Oregon",123730,4248,5857,2212,1825,1032,2368,2483,2122,1251,1454,2255,1375,2697,2021,2796,2199,14849,3277,6653,12988,7574,24567,10886,1200,3541
"Washington County (Central)--Beaverton City (West) & Aloha PUMA, Oregon",120191,4361,3630,2173,1141,2210,2161,2250,2115,2523,1653,2079,1546,945,1428,2908,1948,14474,2659,4369,15386,9992,23370,11549,1536,1785
"Washington County (Northeast)--Beaverton City (East & Central) & Cedar Mill PUMA, Oregon",115026,6093,4200,1351,716,1971,1102,2295,1423,1646,2336,1835,1725,1923,2886,1189,1676,13540,2188,4842,11448,5346,28098,10767,2185,2245
"Lewis, Klickitat & Skamania Counties PUMA; Washington",113837,2949,4254,748,617,923,849,2167,1585,1782,2183,1270,2590,1618,2861,4396,1991,23303,3648,8090,17131,10742,11909,4079,1409,743
"Clark County (Southwest)--Vancouver City (West & Central) PUMA, Washington",113530,3619,3667,1654,1131,543,1256,2238,684,1752,1810,1330,1116,1890,2447,2851,1943,21736,5086,7497,14161,9510,16287,6811,1592,919
"Clark County (West Central)--Salmon Creek & Hazel Dell PUMA, Washington",119600,3141,4663,1916,1247,931,1365,1560,1453,1711,2377,1372,1756,3880,2653,3096,1902,17853,2569,9944,19419,9392,16446,5980,1544,1430
"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA; Washington",118793,3668,3331,1383,1735,1367,2127,1809,1689,1943,2194,2978,2703,1480,2468,3335,2209,15451,3042,8791,16119,11077,18671,7559,988,676
"Clark County (North)--Battle Ground City & Orchards PUMA, Washington",130278,5257,4573,2764,2113,1688,1680,1922,2090,3708,2237,1351,2500,2724,2692,2753,1605,24086,3552,10124,14401,13240,16368,5354,611,885
