Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Tooele & Box Elder Counties PUMA, Utah",125059,5463,5189,2277,1936,611,1663,2708,1276,2242,2798,1722,4625,1885,4458,5274,3498,27046,3874,6432,12328,9368,12865,3929,826,766
"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna PUMA; Utah",107021,7351,5575,1250,1690,1718,1208,1774,2760,1868,4607,4197,3250,2492,3476,3759,3152,19136,4814,5215,11771,5968,7902,1382,296,410
"Salt Lake County (Northeast)--Salt Lake City (East) PUMA, Utah",128247,4057,2270,1595,832,559,743,2188,705,1060,1050,1435,1212,1016,1490,1833,1239,14773,2644,5493,21998,6647,28686,14177,7014,3531
"Salt Lake County--West Valley City (Central), Salt Lake City (South Central) & Kearns PUMA; Utah",108922,4034,5374,3201,1442,2563,925,2574,2997,1682,3253,1947,2358,2829,6392,4113,1711,24013,3738,6982,10685,6088,6956,2591,314,160
"Salt Lake County--West Valley City (East), Taylorsville & Murray (West) Cities PUMA; Utah",121614,5385,5514,1527,1744,1509,2428,1948,1615,2292,4284,1961,1381,2087,3412,2978,3962,26409,3149,10265,13285,7499,11074,4599,1287,20
"Salt Lake County (East Central)--Murray (East), Holladay Cities & Millcreek PUMA; Utah",158177,6439,4554,2338,2473,1578,2612,2231,2200,2313,1880,1793,2480,2293,3878,3538,1649,22704,2625,9263,20962,8924,30488,12339,4082,2541
"Salt Lake County--West Jordan (West), Herriman & South Jordan (West) Cities PUMA; Utah",138243,6430,7870,2337,2855,2639,5112,3302,3587,3161,3493,3381,3750,2901,2765,4408,0,20559,1898,6563,14506,10934,19237,5103,1145,307
"Salt Lake County--West Jordan (East), South Jordan (East) & Riverton Cities PUMA; Utah",175274,9192,6341,2011,2161,3981,1989,3395,3955,3074,4290,3576,3062,4007,3291,6200,2165,26874,3224,12789,21593,13218,24402,6606,3203,675
"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities PUMA; Utah",103199,3976,2545,2344,1361,1014,1403,988,2261,1042,1484,835,1297,711,902,3749,1443,12911,1338,6735,17141,6125,20042,8389,1605,1558
"Salt Lake County (South & East Central)--Draper (Northwest) & Sandy (South) Cities PUMA, Utah",111503,4041,3314,1565,2131,758,958,1484,1154,2145,1870,1565,2885,3417,1964,2347,909,13323,1824,6036,14641,6862,21222,11009,2345,1734
