Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",136362,4134,3157,1158,1005,1623,1634,1766,1499,2757,1551,1694,3705,3869,4724,3710,1219,39835,4880,6861,17036,9358,13247,4764,868,308
"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",137815,3917,3513,1687,1247,2012,928,1839,1884,1715,1819,1705,3482,2289,4420,4666,1318,34495,5425,9015,16654,14347,11964,5866,608,1000
"St. Clair County (Central & Northeast) PUMA, Illinois",149556,4733,4189,2077,1745,1483,1748,2017,2119,1522,2466,1474,3868,2391,3489,5918,1380,24427,3765,11758,16522,15909,20629,11882,1246,799
"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",112024,5068,3136,1436,1099,661,2926,1326,1594,1873,3240,1692,3719,2443,3533,4016,2172,24250,3920,6360,12550,8972,10237,5139,501,161
"Madison County (East) PUMA, Illinois",123021,4998,1852,3719,1292,1248,1186,2236,881,1972,2175,676,1890,1806,2332,3613,1330,21242,2962,6876,15764,7702,22491,10344,1206,1228
"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",140911,4352,3619,2573,1303,1886,2590,2206,1979,1984,3211,1162,2047,1696,4066,2591,2217,31178,7134,10703,20994,13961,12008,4254,883,314
"Lincoln, Warren, Audrain, Pike & Montgomery Counties PUMA; Missouri",148367,6080,5495,2280,1433,3043,1612,1291,1833,1852,3186,1577,3913,4026,5025,6454,3519,38502,7512,8895,14850,10531,11212,3705,280,261
"Franklin County PUMA, Missouri",103305,3498,2847,1952,939,975,1592,1325,1112,1988,1377,2071,2706,2695,3245,3175,1775,20748,3390,8033,13671,8217,10763,3866,1187,158
"St. Charles County (South) PUMA, Missouri",110581,3631,2498,1750,1505,1515,1195,1911,1499,1445,1705,1500,1280,3256,1531,1738,660,16863,2277,6443,11522,7294,19958,13363,2670,1572
"St. Charles County (Northwest) PUMA, Missouri",151650,4787,2567,4356,1751,2058,2338,3395,2622,3001,3067,2903,3255,2537,2356,3843,647,23742,4327,10356,16243,12506,26747,10294,1060,892
"St. Charles County (Northeast) PUMA, Missouri",137667,4076,1861,3010,1163,2213,876,2745,1312,1462,629,1067,2418,2542,2536,3214,2332,20834,3629,12453,21166,10223,23900,10730,853,423
"St. Louis County (Northeast) PUMA, Missouri",109994,4755,5525,996,1120,792,1458,2385,1737,681,2911,1479,3187,1803,3258,4873,2222,20986,1868,7244,17831,9052,8418,4799,303,311
"St. Louis County (Northwest) PUMA, Missouri",126078,3550,3447,2565,1492,1077,1473,1829,1562,1394,2400,1433,3332,2837,3729,4220,1540,28261,2345,6445,17477,9860,13907,8913,801,189
"St. Louis County (Inner Ring North) PUMA, Missouri",114947,4960,5119,1673,1916,2644,2413,1025,1421,2570,1639,1384,2822,1375,2414,2913,2220,16639,5392,5748,18807,8077,14914,5056,1258,548
"St. Louis County (West) PUMA, Missouri",114925,4129,2422,1989,1747,558,1034,1209,1913,1063,1128,899,1953,2133,2615,2262,608,13175,710,5633,11349,6090,28130,17174,2400,2602
"St. Louis County (Central) PUMA, Missouri",126093,2543,2409,2266,583,1694,1347,1484,2135,2073,972,1616,1347,2058,1195,2507,1102,9722,744,4182,14860,2741,33044,18374,8899,6196
"St. Louis County (Central West) PUMA, Missouri",113211,4553,2003,1543,1087,1833,1404,1182,1296,1948,659,1340,1587,1213,1645,2247,1328,12770,1287,5465,12371,6613,26158,15890,4003,1786
"St. Louis County (Inner Ring South) PUMA, Missouri",161110,6654,5698,2232,2128,2251,1573,1884,1733,1859,1683,2462,2529,2542,4423,2322,2503,24851,3874,7023,16452,11958,30551,14924,3770,3231
"St. Louis County (South) PUMA, Missouri",130451,2905,2329,2327,1410,892,1426,2610,1049,1903,1643,1850,2672,1920,3069,3032,1120,19484,1966,6547,15395,8270,29223,14022,1483,1904
"St. Louis City (North) PUMA, Missouri",121636,4169,3662,1497,1292,1809,1350,359,1303,1614,1182,1758,1984,1623,3756,5290,1845,23615,3012,6643,18978,7068,13736,7447,4326,2318
"St. Louis City (South) PUMA, Missouri",180541,8310,4655,2440,2134,1384,2016,1539,1967,2962,3439,1479,2373,2926,2883,5334,1513,29725,3949,7863,22407,10521,37173,15400,3514,2635
"Jefferson County (North) PUMA, Missouri",113465,4314,3307,2944,1126,2354,982,1046,900,1483,3043,975,2818,2651,2933,3556,1755,20470,4000,8945,15039,9509,13305,5700,238,72
"Jefferson County (South) PUMA, Missouri",110602,2767,2730,1348,2103,1125,922,1427,1186,1601,805,1479,3196,1672,2167,3266,1223,23953,5046,9424,12446,11878,13616,4200,667,355
