Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",65369,46612.4461,1356.153957,5.99990821
"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",60619,54506.3007,1840.85978,6.79461885
"St. Clair County (Central & Northeast) PUMA, Illinois",66711,64321.7204,2251.265309,9.11800153
"St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",53901,41779.242,1078.803195,13.0023005
"Madison County (East) PUMA, Illinois",51173,81048.5746,2772.641881,8.95892365
"Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",68452,47638.481,1414.551364,10.5078157
"Lincoln, Warren, Audrain, Pike & Montgomery Counties PUMA; Missouri",62686,47992.0876,899.0802412,7.17629136
"Franklin County PUMA, Missouri",45538,62762.7568,1177.891519,5.91411568
"St. Charles County (South) PUMA, Missouri",43807,108820.531,2483.15057,5.9161093
"St. Charles County (Northwest) PUMA, Missouri",53447,101820.845,2522.24905,4.45459988
"St. Charles County (Northeast) PUMA, Missouri",59081,76459.8891,1859.488414,7.12037711
"St. Louis County (Northeast) PUMA, Missouri",53368,39287.4486,887.0230288,17.7571204
"St. Louis County (Northwest) PUMA, Missouri",57174,50181.3377,983.1268059,13.0491132
"St. Louis County (Inner Ring North) PUMA, Missouri",52903,38428.5814,695.8030357,15.6712663
"St. Louis County (West) PUMA, Missouri",48559,119701.007,2976.041846,10.0030067
"St. Louis County (Central) PUMA, Missouri",56568,137197.609,3793.938075,9.31128907
"St. Louis County (Central West) PUMA, Missouri",48206,120433.553,2916.854043,6.99906651
"St. Louis County (Inner Ring South) PUMA, Missouri",70381,88026.7734,2108.270911,7.88388912
"St. Louis County (South) PUMA, Missouri",54780,102536.12,2805.848448,4.67924425
"St. Louis City (North) PUMA, Missouri",77946,26699.4137,525.308316,20.6603931
"St. Louis City (South) PUMA, Missouri",99220,49906.7511,881.525771,15.0843177
"Jefferson County (North) PUMA, Missouri",45612,68147.0712,1275.206262,6.32020082
"Jefferson County (South) PUMA, Missouri",46022,74251.5186,1286.200056,4.97092695
