Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Hernando County PUMA, Florida",87534,45213.6755,999.806327,8.80317754
"Hillsborough County (Central)--Tampa City (Central) PUMA, Florida",68356,41462.2841,490.464612,22.943335
"Hillsborough County (Southwest)--Tampa City (South) PUMA, Florida",83468,86107.3375,1937.51415,14.9928753
"Hillsborough County (Northwest) PUMA, Florida",64469,80262.6061,1715.23681,11.607173
"Hillsborough County (North Central) PUMA, Florida",71756,80594.38,1614.11736,11.6794538
"Hillsborough County (North Central)--Tampa City (North) PUMA, Florida",70683,64983.2339,1088.18846,19.9666187
"Hillsborough County (Northeast) PUMA, Florida",50790,63383.3379,1148.49063,10.2144601
"Hillsborough County (Central) PUMA, Florida",83709,63827.5684,986.653347,16.0736169
"Hillsborough County (South County) PUMA, Florida",97616,74672.3355,2018.00155,7.26634891
"Pasco County (East Central) PUMA, Florida",60713,47576.3428,1183.09299,7.41124742
"Pasco County (West Central) PUMA, Florida",54808,43285.8463,913.563202,7.59254039
"Pasco County (Gulf Coast) PUMA, Florida",74167,26531.2225,580.53184,14.9989806
"Pasco County (South) PUMA, Florida",57258,84827.2875,2071.58696,5.99131667
"Pinellas County (North) PUMA, Florida",61973,65145.3496,1942.68407,8.39545718
"Pinellas County (North Central) PUMA, Florida",59072,54688.0222,1316.03728,10.5489808
"Pinellas County (Central)--Clearwater City (South & Central) PUMA, Florida",59363,42743.9216,1145.78054,17.1163394
"Pinellas County (Central)--Greater Largo City PUMA, Florida",58764,38798.1991,873.570502,14.40668
"Pinellas County (West Central)--Greater Seminole City PUMA, Florida",63892,42947.5266,1436.67838,5.83278499
"Pinellas County (Central)--Greater Pinellas Park City PUMA, Florida",57189,39407.0575,768.30908,8.67709411
"Pinellas County (Southeast)--St. Petersburg City (East) PUMA, Florida",86726,56857.8743,1352.24325,14.7610704
"Pinellas County (South Central)--St. Petersburg City (West) PUMA, Florida",63141,38681.4696,1337.53222,8.56632205
