Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities PUMA; Virginia",151128,5054,4478,2253,2490,1502,2493,1649,2079,2176,2476,2230,2816,4314,4635,5266,1664,28049,4306,9875,19107,11366,19223,8857,1382,1388
"Norfolk City (Northeast) PUMA, Virginia",226927,8137,7042,4832,2846,2103,2609,2926,2210,2583,4339,3284,2846,3828,6607,4264,4373,42384,7551,18513,38587,14676,27072,9243,1966,2106
"Portsmouth & Norfolk (Southwest) Cities PUMA, Virginia",111500,4512,3977,2426,2067,896,1576,1743,1876,312,1097,267,2872,2218,4112,2982,722,21721,4837,8957,14739,7106,11722,5367,2339,1057
"Virginia Beach City (North) PUMA, Virginia",141876,5259,4082,1379,1895,1152,1699,1566,2303,2736,2678,2058,2040,1832,3373,2925,1653,21028,3704,8958,17187,8384,24076,14751,3525,1633
"Virginia Beach City (Central) PUMA, Virginia",178356,6938,4175,3756,1545,3581,2245,3753,2415,1962,2596,2487,1798,1980,4439,4419,3290,27873,3545,13378,29243,12231,26513,10318,2688,1188
"Virginia Beach City (South) PUMA, Virginia",128713,4285,2985,2305,1211,1492,806,1431,2097,1594,1513,1665,2847,2171,1329,3972,1877,16303,4447,9538,18010,11295,22859,10199,1740,742
"Newport News City PUMA, Virginia",178697,8320,5837,2027,3123,1678,1845,2120,2995,2068,3684,3184,2876,2027,3362,3756,2927,37053,5583,11196,28070,11072,22555,8772,1573,994
"Hampton City PUMA, Virginia",134350,4136,3907,2238,1278,1678,578,1370,2323,1932,2408,1673,947,2427,2674,4918,385,28209,3388,9320,20061,13483,15592,7660,718,1047
"James City, York Counties, Williamsburg & Poquoson Cities PUMA; Virginia",172947,4523,4086,2306,2431,1686,3046,2476,1793,1439,3091,2236,3176,2353,2838,2615,1476,25088,3952,10099,22053,11339,31751,20989,3239,2866
"Chesapeake City (Northeast) PUMA, Virginia",128130,3691,7587,3037,2098,1274,1817,3341,1368,2358,2066,813,596,3906,2518,2758,2458,20452,4714,7467,19290,7781,18704,6283,1102,651
"Chesapeake City (South & West) PUMA, Virginia",114798,2607,3527,1889,821,2136,1550,1531,1706,974,2204,1516,2087,3211,3043,2859,1117,16912,3539,6089,16701,7947,20241,7859,1529,1203
