Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Kankakee County PUMA, Illinois",45644,52422.29844,2134.572101,11.46726843
"DeKalb County PUMA, Illinois",41250,66787.33697,2833.750255,15.25124848
"Kane County (Southeast)--Aurora Township PUMA, Illinois",48926,60602.66096,2542.895495,13.53625884
"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",44881,130210.6586,6444.937791,5.685167443
"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",50415,80511.82783,3666.727244,10.83796489
"Kane County (West) PUMA, Illinois",45253,130432.8389,7771.452036,1.023976311
"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",50887,62419.56315,2403.650107,14.26625661
"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",46676,94472.87621,4278.194747,5.224655069
"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",58753,125113.4473,6559.286385,5.003046653
"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",43395,122473.7593,7156.757414,1.766862542
"Will County (South) PUMA, Illinois",45486,76683.96693,4006.82333,6.543288045
"DuPage County (Central)--Milton Township PUMA, Illinois",44844,122162.3675,6417.495005,10.45517795
"DuPage County (South Central)--Lisle Township PUMA, Illinois",48853,116815.7577,5098.850224,8.901746054
"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",60301,148880.229,5781.495066,7.056350641
"DuPage County (East Central)--York Township PUMA, Illinois",51745,115055.0177,5361.773601,10.38173737
"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",43993,91708.07606,4190.750233,10.9947719
"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",64625,103723.085,5680.974143,6.837276596
"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",47053,113087.1482,4686.914352,10.40584022
"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",60653,85204.65517,5023.605494,7.117455031
"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",50877,52218.64477,2345.703953,15.65589559
"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",44259,124106.2692,7848.82381,3.353916718
"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",56693,122971.6933,5502.053022,11.28516748
"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",52699,159990.3626,9091.784797,6.307709824
"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",49605,114007.3823,6162.172604,7.809918355
"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",71575,73865.90541,4164.557527,10.03316801
"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",66114,80144.25326,3684.333711,13.48274193
"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",57204,91408.4099,4907.445493,9.172662751
"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",69553,91969.7412,5193.576151,4.728926143
"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",67716,70918.98488,3085.264753,10.78334515
"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",42330,66487.00213,3564.237562,8.585849279
"Cook County (Southeast)--Thornton Township PUMA, Illinois",70645,40996.899,2084.74144,14.01609456
