Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Kankakee County PUMA, Illinois",109728,3621,4302,1010,1080,1608,1667,1859,1512,1606,1272,2671,2279,3149,3134,4697,1685,27580,2763,5703,13530,6866,11106,4184,369,475
"DeKalb County PUMA, Illinois",104140,3566,2761,1176,1201,479,1461,1112,1447,809,2399,1333,2589,1296,1322,3729,989,14295,2868,8209,16417,10036,15168,7424,872,1182
"Kane County (Southeast)--Aurora Township PUMA, Illinois",147907,6639,6586,1999,2159,2733,2188,2731,2422,5273,8585,3581,7187,5203,4765,6754,2029,26867,6256,8974,15663,4128,10188,4081,424,492
"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",120108,3004,1809,2339,1349,1306,1769,1693,1678,897,1894,2234,1717,2376,2040,3845,2408,15586,3555,7474,12796,7828,22246,12914,2391,2960
"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",141191,5862,6978,2147,1696,1524,2599,1422,2235,2709,3894,3247,3933,5303,4294,3988,3879,20091,3230,9538,16693,10322,17766,6639,942,260
"Kane County (West) PUMA, Illinois",125886,3421,4820,1279,2721,1113,2203,1605,1623,1592,1512,2173,2382,1744,2777,3203,1086,21246,1157,7589,13003,7582,25094,11617,2340,1004
"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",134217,4159,3716,2861,3565,1351,2454,2876,2461,1606,3970,2416,3524,5056,2774,4734,2835,27182,4518,8607,19169,7573,11879,3471,882,578
"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",142036,5278,2707,2911,1721,1174,2161,1418,2361,2061,1983,2365,3399,3519,4149,2464,3672,28270,6174,8788,19703,9447,17964,6847,1027,473
"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",174523,6243,5111,3030,3385,807,3591,2752,3041,3594,3346,2951,4690,2846,4309,3237,2215,25930,2849,6709,16505,9043,36256,16813,2395,2875
"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",126720,4410,3155,2895,1023,1957,1630,1950,1632,1473,2073,1798,2521,1695,3475,2639,1223,19347,1300,7828,12390,8007,27239,11916,1487,1657
