Selected Geographies,Gross rent as a percentage of household income past 12 months
"Kankakee County PUMA, Illinois",11.46726843
"DeKalb County PUMA, Illinois",15.25124848
"Kane County (Southeast)--Aurora Township PUMA, Illinois",13.53625884
"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",5.685167443
"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",10.83796489
"Kane County (West) PUMA, Illinois",1.023976311
"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",14.26625661
"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",5.224655069
"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",5.003046653
"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",1.766862542
"Will County (South) PUMA, Illinois",6.543288045
"DuPage County (Central)--Milton Township PUMA, Illinois",10.45517795
"DuPage County (South Central)--Lisle Township PUMA, Illinois",8.901746054
"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",7.056350641
"DuPage County (East Central)--York Township PUMA, Illinois",10.38173737
"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",10.9947719
"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",6.837276596
"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",10.40584022
"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",7.117455031
"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",15.65589559
"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",3.353916718
"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",11.28516748
"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",6.307709824
"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",7.809918355
"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",10.03316801
"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",13.48274193
"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",9.172662751
"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",4.728926143
"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",10.78334515
"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",8.585849279
"Cook County (Southeast)--Thornton Township PUMA, Illinois",14.01609456
"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",9.929972593
"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",6.917381932
"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",6.192700225
"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",9.590624016
"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",10.48422399
"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",11.76555253
"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",8.5040845
"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",11.50933651
"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",11.09306545
"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",21.90083976
"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",16.03332349
"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",14.93456478
"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",13.01342389
"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",11.06457848
"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",20.60384342
"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",16.67258196
"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",23.82111229
"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",19.11149135
"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",15.9272288
"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",17.16121484
"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",11.17631836
"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",22.12151629
"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",25.72521944
"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",5.78517782
"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",18.40182444
"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",13.38999913
"McHenry County (North, West & Central) PUMA; Illinois",6.904128486
"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",6.315464554
"Kendall & Grundy Counties PUMA, Illinois",5.710573264
"Lake County (Northwest)--Hammond & East Chicago Cities PUMA, Indiana",13.01995266
"Lake County (Northeast)--Gary City & Griffith Town PUMA, Indiana",11.6412327
"Lake County (Central) PUMA, Indiana",5.932271237
"Lake County (South) PUMA, Indiana",5.279523461
"Porter County PUMA, Indiana",7.262109617
"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",5.092920731
"Kenosha County PUMA, Wisconsin",10.38164935
