Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Kankakee County PUMA, Illinois",52422.29844
"DeKalb County PUMA, Illinois",66787.33697
"Kane County (Southeast)--Aurora Township PUMA, Illinois",60602.66096
"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",130210.6586
"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",80511.82783
"Kane County (West) PUMA, Illinois",130432.8389
"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",62419.56315
"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",94472.87621
"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",125113.4473
"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",122473.7593
"Will County (South) PUMA, Illinois",76683.96693
"DuPage County (Central)--Milton Township PUMA, Illinois",122162.3675
"DuPage County (South Central)--Lisle Township PUMA, Illinois",116815.7577
"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",148880.229
"DuPage County (East Central)--York Township PUMA, Illinois",115055.0177
"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",91708.07606
"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",103723.085
"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",113087.1482
"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",85204.65517
"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",52218.64477
"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",124106.2692
"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",122971.6933
"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",159990.3626
"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",114007.3823
"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",73865.90541
"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",80144.25326
"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",91408.4099
"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",91969.7412
"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",70918.98488
"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",66487.00213
