Selected Geographies,Property taxes (yearly real estate taxes)
"Kankakee County PUMA, Illinois",2134.572101
"DeKalb County PUMA, Illinois",2833.750255
"Kane County (Southeast)--Aurora Township PUMA, Illinois",2542.895495
"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA; Illinois",6444.937791
"Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA, Illinois",3666.727244
"Kane County (West) PUMA, Illinois",7771.452036
"Will County (West Central)--Joliet & Troy Townships PUMA, Illinois",2403.650107
"Will County (Northwest Central)--Plainfield & Lockport Townships PUMA, Illinois",4278.194747
"Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",6559.286385
"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",7156.757414
"Will County (South) PUMA, Illinois",4006.82333
"DuPage County (Central)--Milton Township PUMA, Illinois",6417.495005
"DuPage County (South Central)--Lisle Township PUMA, Illinois",5098.850224
"DuPage County (Southeast)--Downers Grove Township PUMA, Illinois",5781.495066
"DuPage County (East Central)--York Township PUMA, Illinois",5361.773601
"Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",4190.750233
"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships PUMA; Illinois",5680.974143
"DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA, Illinois",4686.914352
"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA; Illinois",5023.605494
"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA; Illinois",2345.703953
"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA; Illinois",7848.82381
"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",5502.053022
"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA; Illinois",9091.784797
"Cook County (Northwest)--Palatine & Barrington Townships PUMA, Illinois",6162.172604
"Cook County (West Central)--Proviso, Riverside & River Forest Townships PUMA; Illinois",4164.557527
"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA; Illinois",3684.333711
"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",4907.445493
"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",5193.576151
"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",3085.264753
"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",3564.237562
"Cook County (Southeast)--Thornton Township PUMA, Illinois",2084.74144
"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",3465.744249
"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",5104.039663
"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",9323.325515
"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",4139.526213
"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",4059.438408
"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",3808.985508
"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",4590.075563
"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",5147.853212
"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois",3197.055473
"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",1413.291928
"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",3740.053156
"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",3491.992411
"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",3132.055376
