Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA; Colorado",67566,117749.7728,2121.623938,8.942293461
"Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA, Colorado",50528,81258.90516,1317.742262,13.99447831
"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",52001,78240.58422,1353.117382,12.18093883
"Adams County (West Central)--Commerce City & Brighton Cities PUMA, Colorado",57374,83267.32684,1695.234618,12.10067278
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",40872,114228.0608,2152.386206,7.217606185
"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",46872,61678.19188,859.8554147,18.32046851
"Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA, Colorado",48083,58828.58586,632.8920408,23.26204688
"Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA, Colorado",49378,136792.492,2762.97268,9.456802625
"Denver City (Northeast) PUMA, Colorado",77832,90622.71315,1385.908881,15.48798695
"Denver City (Northwest) PUMA, Colorado",62094,90340.73746,964.9365317,18.75746449
"Denver City (South Central) PUMA, Colorado",65720,108935.9862,1434.5049,16.35809495
"Denver City (Southeast) PUMA, Colorado",92724,77474.7622,955.6153747,20.6330292
"Denver City (Southwest) PUMA, Colorado",48518,61792.48011,787.2560493,17.08365967
"Jefferson County (Northeast)--Arvada City PUMA, Colorado",53066,94801.82509,1777.592225,10.55372555
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA; Colorado",57421,73390.4305,1070.455304,17.38912593
"Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA, Colorado",59469,96186.86156,1577.064958,10.56086364
"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA; Colorado",51343,89385.26674,1414.911186,15.88109382
"Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA, Colorado",52991,129746.666,1994.409636,8.283066936
"Douglas County (South)--Castle Rock Town PUMA, Colorado",44086,160213.1126,3030.408474,4.54702173
"Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA, Colorado",51499,125936.4366,2486.023049,7.305675838
"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",43887,110329.7929,2200.783444,4.278009433
