Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
 -> Total,2766235,99066,81567,51319,37086,40154,36471,41210,35717,44401,60845,40902,50320,55616,57133,70859,36067,371096,67014,120974,297230,155776,576074,249646,58052,31640
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA; Colorado",165190,5346,3076,2762,2316,2377,1985,2194,2334,1958,2091,2598,2884,3140,3166,3398,1105,17103,2120,6438,19077,9204,42843,19467,3329,2879
"Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA, Colorado",123958,3185,4379,1793,1056,1705,2412,2731,2111,2466,2982,1459,2549,1758,2060,4238,1725,18358,4832,9581,14487,6770,20082,9611,853,775
"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",142406,6811,7328,1474,1943,2080,1735,1984,2227,3106,6205,3052,2750,4399,4569,6212,2823,24165,5102,8096,13125,6501,18356,6814,597,952
"Adams County (West Central)--Commerce City & Brighton Cities PUMA, Colorado",165726,5630,6603,4349,2950,3035,3039,4035,3107,3242,5493,3801,3467,5031,5605,6316,3261,28927,5656,7607,18542,10818,17589,7076,349,198
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",113883,5024,2558,2830,3075,2712,1402,1432,1876,1808,1658,1893,2623,1199,1412,2939,897,13781,1427,4324,11028,9395,23463,11524,2011,1592
"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",112421,4402,5243,1437,1206,2799,1341,1659,978,1623,1148,2605,2263,2410,2561,3961,2296,22389,3440,5837,13529,7074,16994,4090,778,358
"Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA, Colorado",116971,5581,5787,1950,1642,1352,2954,1360,1119,3045,2961,980,2935,4108,2817,4105,2608,23358,3547,5411,12056,6595,13675,5414,845,766
"Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA, Colorado",118014,3932,2759,2580,1951,1833,2045,1470,1475,1300,2488,1745,2227,2405,2765,1960,519,12698,1437,3172,9227,4081,29443,17089,5230,2183
"Denver City (Northeast) PUMA, Colorado",191136,6970,7986,4641,3349,2304,2111,2818,2818,3903,5844,4562,4591,5764,5311,6025,3142,23806,2988,4543,16827,8261,36995,19032,4680,1865
"Denver City (Northwest) PUMA, Colorado",104587,2623,1193,1490,1048,629,846,1224,593,1354,1210,416,1333,1671,1188,2152,1064,8320,2518,4501,10305,4147,33608,13487,5480,2187
"Denver City (South Central) PUMA, Colorado",110082,3260,844,1928,751,1101,1588,725,1034,861,726,1240,1234,361,1530,829,686,5057,2015,2866,9835,4040,38084,20078,6537,2872
"Denver City (Southeast) PUMA, Colorado",171468,7274,4209,2313,1985,1111,1518,2212,1942,1664,1371,1511,804,1162,1799,3189,1932,20042,5188,5304,19089,10628,47349,17753,6898,3221
"Denver City (Southwest) PUMA, Colorado",117406,4447,5996,1815,663,2842,2002,1909,1099,2500,7632,1415,3308,4205,4254,3607,1788,20483,3669,5084,12186,4740,16549,4169,757,287
"Jefferson County (Northeast)--Arvada City PUMA, Colorado",118064,4083,1142,1415,1612,1077,1320,1815,1216,1708,1242,1434,1829,2462,2295,1262,3015,20022,3991,7476,12489,7754,23924,10763,1294,1424
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA; Colorado",124768,3206,3269,3323,2164,1669,1495,1995,1446,1805,2209,1891,1441,1856,3141,3928,1682,19112,4523,5590,13334,5771,23158,12246,2097,2417
"Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA, Colorado",134877,4880,3383,1592,459,2170,273,1972,897,1680,2500,1210,1855,1466,2145,3427,1162,20203,3850,7642,17075,9622,29286,11321,3405,1402
"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA; Colorado",109566,2820,1834,2030,1383,1439,885,857,1745,1668,1484,383,2417,1737,1287,1619,1687,14244,2424,4410,15291,5729,27114,10816,3032,1231
"Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA, Colorado",133643,4185,2872,3616,2009,1631,1435,1326,1768,2433,3065,1611,1717,2971,1974,3238,905,12056,1340,5201,14109,8163,35505,15376,3843,1294
"Douglas County (South)--Castle Rock Town PUMA, Colorado",121418,3816,3314,1933,1554,2609,1445,2937,1905,2653,3490,3169,2406,1761,2770,2044,494,9972,1326,4994,12171,7861,29146,13166,3124,1358
"Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA, Colorado",145015,5791,3882,3307,2691,1841,2634,2309,1805,2239,2270,2439,2751,2135,3060,2729,1819,13577,2918,6491,17685,9789,35366,12220,1810,1457
"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",125636,5800,3910,2741,1279,1838,2006,2246,2222,1385,2776,1488,2936,3615,1424,3681,1457,23423,2703,6406,15763,8833,17545,8134,1103,922
