Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA; Colorado",117749.7728
"Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA, Colorado",81258.90516
"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",78240.58422
"Adams County (West Central)--Commerce City & Brighton Cities PUMA, Colorado",83267.32684
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",114228.0608
"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",61678.19188
"Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA, Colorado",58828.58586
"Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA, Colorado",136792.492
"Denver City (Northeast) PUMA, Colorado",90622.71315
"Denver City (Northwest) PUMA, Colorado",90340.73746
"Denver City (South Central) PUMA, Colorado",108935.9862
"Denver City (Southeast) PUMA, Colorado",77474.7622
"Denver City (Southwest) PUMA, Colorado",61792.48011
"Jefferson County (Northeast)--Arvada City PUMA, Colorado",94801.82509
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA; Colorado",73390.4305
"Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA, Colorado",96186.86156
"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA; Colorado",89385.26674
"Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA, Colorado",129746.666
"Douglas County (South)--Castle Rock Town PUMA, Colorado",160213.1126
"Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA, Colorado",125936.4366
"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",110329.7929
