Selected Geographies,Property taxes (yearly real estate taxes)
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA; Colorado",2121.623938
"Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA, Colorado",1317.742262
"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",1353.117382
"Adams County (West Central)--Commerce City & Brighton Cities PUMA, Colorado",1695.234618
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",2152.386206
"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",859.8554147
"Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA, Colorado",632.8920408
"Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA, Colorado",2762.97268
"Denver City (Northeast) PUMA, Colorado",1385.908881
"Denver City (Northwest) PUMA, Colorado",964.9365317
"Denver City (South Central) PUMA, Colorado",1434.5049
"Denver City (Southeast) PUMA, Colorado",955.6153747
"Denver City (Southwest) PUMA, Colorado",787.2560493
"Jefferson County (Northeast)--Arvada City PUMA, Colorado",1777.592225
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA; Colorado",1070.455304
"Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA, Colorado",1577.064958
"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA; Colorado",1414.911186
"Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA, Colorado",1994.409636
"Douglas County (South)--Castle Rock Town PUMA, Colorado",3030.408474
"Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA, Colorado",2486.023049
"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",2200.783444
