Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Jefferson County (North Central)--Beaumont City PUMA, Texas",50360,49099.37232,1181.712748,12.7694996
"Jefferson County (Outside Beaumont City)--Port Arthur City PUMA, Texas",58411,43805.19269,1124.944035,7.898546507
"Houston-Galveston Area Council--Liberty & Chambers Counties PUMA, Texas",47880,64929.12886,1623.011153,4.87002924
"Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",60325,72942.96358,2167.305843,7.774355574
"Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA, Texas",61066,91216.05935,3662.940474,7.813185733
"Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA, Texas",51946,125841.8069,4745.752878,10.04077311
"Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",49263,95915.43247,3344.102978,8.287315023
"Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA, Texas",55237,89656.5963,3063.170049,12.21313612
"Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA, Texas",44549,47965.58374,771.5740196,17.62825204
"Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610 PUMA; Texas",65833,65396.2253,1986.693786,19.15104887
"Houston City (West Central)--South of I-10 & Inside Loop I-610 PUMA, Texas",84106,126013.3691,3969.362721,14.39664233
"Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA, Texas",39793,47507.9525,1003.268515,14.32643932
"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA; Texas",41003,44608.79936,945.2644441,16.0534595
"Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",45537,48663.96469,1217.042559,13.82712959
"Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA, Texas",33414,33642.15628,684.2064105,19.60438738
"Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA, Texas",50178,52729.7011,1551.450656,13.73916856
"Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA, Texas",37705,47053.59104,1074.512929,15.49616762
"Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",41483,55215.13126,1309.088783,24.11932599
"Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",41424,73323.54548,2814.076646,18.43380649
"Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",63939,96848.37063,3348.145295,17.70188774
"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA; Texas",51556,38004.74843,564.3651951,25.83202731
"Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",42748,57968.89773,1632.570109,18.32249462
"Houston City (Southwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",46164,57101.78797,1501.408955,19.91094792
"Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",46683,50667.48238,932.1921899,12.9577148
"Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA, Texas",38320,41657.51357,687.2363257,15.56625783
"Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA, Texas",37213,53218.43307,1209.455513,18.01754763
"Houston (Southeast) & Webster Cities PUMA, Texas",42156,67416.05086,1949.960195,15.14028845
"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA; Texas",45106,92141.24285,2720.108345,11.75085354
"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA; Texas",36838,70824.55627,2059.455644,7.525218524
"Harris County (East)--Baytown City PUMA, Texas",45068,53690.65057,1454.698145,11.76655276
"Harris County (Northeast)--Houston City (Far Northeast) PUMA, Texas",43977,110036.7524,4158.591582,4.403051595
"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",48963,86470.14705,2620.14368,8.740477503
"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",53482,41280.84757,895.6060544,22.43708163
"Harris County (Far North)--Spring PUMA, Texas",51919,76754.00143,2317.718446,9.59359772
"Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA, Texas",43324,70787.29642,1793.203259,14.81772228
"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",49151,94100.35828,2485.270656,15.81133649
"Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",45556,128808.472,5689.447866,8.120401264
"Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",49853,93580.85592,3141.347622,8.708182055
"Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",62472,101591.1351,4747.629274,6.464992317
"Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",35877,79525.78867,2807.278563,9.27747582
"Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA, Texas",38595,80146.3231,2174.872341,10.52048193
"Houston City (West)--South of I-10 & West of TX-6 PUMA, Texas",45314,84594.64183,2985.238425,14.59789469
"Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",50422,88443.28765,2862.630062,11.77414621
"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA; Texas",54866,50712.70805,1377.88009,19.36784165
"Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",38533,53308.59757,1156.793605,22.49022915
"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA; Texas",86032,46324.08836,1414.639181,9.485517017
"Galveston County (Northwest)--League City & Friendswood City PUMA, Texas",62261,108126.1965,3393.231927,8.561362651
"Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA, Texas",48506,93669.06506,4054.73259,10.99666021
"Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA, Texas",46322,62341.61327,2349.169423,8.046090411
"Houston-Galveston Area Council--Brazoria County (Southwest)--Lake Jackson City PUMA, Texas",44656,57614.05746,1481.792883,8.511465425
"Fort Bend County (East)--Missouri City PUMA, Texas",37494,95736.19913,4151.217768,8.498719795
"Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA, Texas",50478,112490.8702,4660.249396,9.524941559
"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA; Texas",41231,86443.72875,3545.303849,10.57519827
"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA; Texas",55632,107722.3609,4877.778059,6.800726201
"Fort Bend County (West & South) PUMA, Texas",75929,129946.4397,6024.388073,2.801801683
"Houston-Galveston Area Council (West) PUMA, Texas",77623,42860.50552,1707.040375,6.101580717
