Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Jefferson County (North Central)--Beaumont City PUMA, Texas",116599,4671,4911,1310,1974,1144,2490,2449,2602,2079,2585,2041,2653,4173,2125,4156,1249,24354,3196,5798,15771,5368,12750,4579,950,1221
"Jefferson County (Outside Beaumont City)--Port Arthur City PUMA, Texas",138369,4698,7385,1851,1467,2004,1213,2021,2117,2628,4515,1881,3356,4939,3235,5066,2027,27466,6466,7104,22966,9441,11042,2259,939,283
"Houston-Galveston Area Council--Liberty & Chambers Counties PUMA, Texas",128839,5722,5605,2792,2840,2161,1148,2376,1509,2247,3427,3334,2883,2808,5996,6201,1475,26796,5468,9052,17711,4432,9453,2241,1014,148
"Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",157220,5706,5145,3217,2226,1910,2602,4902,2276,4024,4264,4386,3627,7736,4349,6285,4029,24020,7685,8867,20645,9049,14142,3834,1952,342
"Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA, Texas",167331,8191,4454,3810,2059,3024,2468,2054,3929,2430,2253,2645,4171,5022,2650,3574,1462,28641,5956,11415,19098,10267,27194,8444,1215,905
"Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA, Texas",125537,3961,3836,2280,1836,1607,2023,1401,2231,1762,2034,4579,3177,2193,2352,897,1039,10505,1162,4502,12155,8110,32986,14347,2169,2393
"Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",140830,8616,4812,2675,2797,880,3198,1582,3160,2999,2677,2177,3174,3293,3717,4063,2888,18301,3553,8634,16657,8677,24852,6106,1004,338
"Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA, Texas",123093,6042,4549,1359,1168,1341,2074,1320,2412,911,4596,1932,3177,5423,2778,3184,1187,19142,2855,3087,12097,3187,24181,9992,3772,1327
"Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA, Texas",115042,4979,7363,981,1134,2060,745,3453,2665,2126,7165,2717,3589,8374,3896,3881,2326,18898,4093,2054,12037,3035,10364,5306,1699,102
"Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610 PUMA; Texas",130467,3965,4233,3218,941,768,1533,1180,1506,646,1580,968,1046,1148,3349,2722,552,14510,1527,3708,21561,5179,28734,13938,6217,5738
"Houston City (West Central)--South of I-10 & Inside Loop I-610 PUMA, Texas",141027,3309,1492,1567,835,1211,1628,1521,1256,1492,1125,1123,959,1512,1370,1041,267,5662,887,2760,12181,5196,47494,26778,12929,5432
"Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA, Texas",120614,5890,7141,1734,2208,1469,3304,3161,2654,2511,7546,2656,4174,5148,4386,4222,1446,24302,6073,4500,13998,6034,4310,1248,499,0
"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA; Texas",123839,6880,6314,2114,2557,1995,1553,4377,3577,4015,6506,2640,3874,5090,4633,5576,2332,25995,3373,2749,14849,5659,5057,1796,141,187
"Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",130519,8659,6610,3618,2094,2606,2468,4531,2801,3936,4812,1999,2654,6822,3270,4449,2049,27449,3625,5047,15216,5100,5495,4225,703,281
"Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA, Texas",109399,5163,6663,1801,2032,2202,3234,3549,2397,2849,9676,3498,4134,11752,4505,3876,1982,19103,1563,2707,9502,3437,3460,261,0,53
"Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA, Texas",143895,7438,7773,2954,1397,2181,2853,4475,3150,3982,10157,5518,4438,8578,6856,3613,1847,25392,3933,3337,10834,4513,13126,3729,1200,621
"Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA, Texas",123264,5156,9469,1004,1374,1596,2496,4222,2287,3846,6317,3720,2345,7006,4874,4883,3126,27357,3317,4105,11182,5045,5449,2750,209,129
"Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",111662,5919,6485,1862,663,1970,2959,1820,3012,2957,4763,2252,3332,3862,3104,2598,2121,18892,3875,3392,13251,4335,12865,4015,648,710
"Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",101051,4279,4645,3042,843,528,1180,2210,2144,1834,6440,1899,2836,3200,2355,2465,819,16306,1098,2887,9063,4570,17448,6189,1375,1396
"Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",113226,4491,2804,1634,570,1366,860,1632,1395,1617,1775,1107,1567,1063,1528,1648,805,8312,429,3626,13790,6325,31831,15451,6036,1564
"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA; Texas",129447,7850,8506,3705,2476,3424,2583,2291,3926,3205,6723,2520,4398,6914,3564,2694,2608,19062,1782,3040,12918,5168,12870,4554,2261,405
"Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",105970,4326,6212,2550,1674,1847,1700,3781,2049,1600,6926,3782,4139,3670,2965,2955,1524,15688,1992,2320,9408,5142,11494,4222,3000,1004
"Houston City (Southwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",113740,5903,3839,1849,1715,2600,1519,2276,1219,1413,3661,1974,2784,3223,3228,2925,2228,20235,2523,2444,14844,5186,15998,6089,2841,1224
"Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",133151,4525,4856,3095,1158,3632,1521,3449,2936,3842,4012,1443,4001,4818,4171,5269,1666,31696,2936,4106,20872,3486,8004,6654,151,852
"Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA, Texas",113571,3674,9921,1484,2153,2428,2732,4163,1779,4012,7026,3583,5400,4064,4168,3622,2890,23342,2999,3523,12145,1915,5367,1031,82,68
"Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA, Texas",110952,3654,7225,1420,1874,2856,1491,4392,1526,3191,4863,3617,2030,5083,3003,3431,2717,25081,3601,4784,11623,4734,7421,1335,0,0
"Houston (Southeast) & Webster Cities PUMA, Texas",105955,4301,3631,2075,1524,1498,2213,1851,1555,776,2127,1448,1504,3290,968,1689,1621,17775,2735,7314,14213,9558,15133,5645,984,527
"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA; Texas",105555,3869,4000,1296,1447,1241,842,938,1637,1909,1107,1809,1657,3171,2277,2862,2388,15142,2971,5325,13162,5933,18908,8993,1597,1074
"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA; Texas",113602,5203,4820,1590,2961,2468,1968,2128,1798,1846,7065,2666,3518,4047,2775,2711,765,21558,5764,7445,15948,5941,7157,1176,220,64
"Harris County (East)--Baytown City PUMA, Texas",118312,6255,4624,1656,2919,1582,3144,2743,4526,1703,5705,1878,2494,5591,4939,4692,3434,19561,3702,4646,13554,7762,7112,2508,1122,460
"Harris County (Northeast)--Houston City (Far Northeast) PUMA, Texas",117467,3805,4897,2172,1965,701,2748,2441,1436,2259,3327,2376,1351,1557,3719,2163,924,15544,3483,7130,14889,6756,20736,7877,1803,1408
"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",154847,7648,5917,1317,2599,2305,2052,2859,3596,3529,5172,3194,2594,6903,3356,4909,2295,26539,5187,7092,20524,9035,18430,6551,428,816
"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",144584,7736,8520,2825,3374,3880,2859,3408,2332,3597,5096,3324,2853,6827,3814,5720,3243,23491,5727,5810,20274,7813,8857,2399,153,652
"Harris County (Far North)--Spring PUMA, Texas",138250,6132,8029,2409,1138,2321,1958,2546,3165,2542,2836,1454,2528,3242,3801,3544,1262,19544,3817,8693,19116,10097,18868,6885,1248,1075
"Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA, Texas",111714,6440,4756,2309,1096,1061,1571,1019,2092,2316,2668,1175,2692,2010,2341,2090,845,21370,2776,4259,15795,5585,17229,5746,1102,1371
"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",116620,3433,2812,1695,490,1447,2075,1550,1748,2381,1253,1767,3243,2137,2311,3143,720,16820,2537,7171,13409,6859,25566,9147,1761,1145
"Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",133711,8618,6048,2549,2631,2123,2101,2976,1632,2226,2941,1664,1759,3936,2076,1296,1510,15838,2400,5121,17644,5987,27354,9874,2340,1067
"Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",136473,6019,4515,3189,2469,1329,2718,2514,3679,3371,2157,2793,3544,3848,848,3003,1470,16737,2622,8734,15738,8408,25067,9648,1229,824
"Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",192803,9512,6669,4006,3404,1987,2383,1929,4583,3620,4466,2946,5071,3252,4162,3708,1607,21494,3031,11194,24510,12449,38016,14680,2562,1562
"Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",107500,4828,5462,2182,1175,1827,947,2384,288,2523,2218,2476,3942,4238,3610,2387,1840,14103,2376,3867,11917,6092,19637,5869,770,542
"Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA, Texas",127052,6182,5655,781,733,2568,1440,4027,1173,2645,2775,3056,3215,3201,4815,1431,2257,15955,4750,5838,21360,6799,18382,5573,1621,820
"Houston City (West)--South of I-10 & West of TX-6 PUMA, Texas",118765,4848,5972,1660,2312,971,2499,1783,1996,2031,937,1222,3454,1889,1461,4830,1596,14428,1695,3491,18085,4458,26124,8237,1431,1355
"Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",114295,4963,4036,2086,1423,2147,1744,2453,1803,1867,2436,3091,2018,2277,2691,1773,2260,13696,959,3596,13846,6208,21503,11422,2607,1390
"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA; Texas",113963,3380,5755,598,1118,1094,1431,1696,2149,2680,5031,1947,1809,2297,2945,2347,2485,14926,2240,2671,17787,5477,19659,10008,1274,1159
"Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",134010,6241,7711,1631,2053,2657,2779,2876,3945,5534,5105,1893,4095,4564,3956,3703,4231,27676,3729,4183,14026,5008,11362,4240,355,457
"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA; Texas",173495,7157,4519,1251,1555,2123,2820,1947,2325,2744,2473,2268,3303,4578,5549,6456,4040,35197,8685,10855,24948,10839,19054,5781,1068,1960
"Galveston County (Northwest)--League City & Friendswood City PUMA, Texas",164507,6010,3809,3866,2532,1441,2500,5269,3227,2741,2731,3255,4194,3621,3962,3405,2232,17941,4444,7148,18026,13573,32704,9937,3806,2133
"Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA, Texas",129136,5411,2984,2585,3188,402,910,4231,2768,2726,2177,2526,2592,1936,2497,2438,1789,14129,1581,6888,20363,8988,22839,7421,3124,2643
"Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA, Texas",134200,4722,5054,3235,1390,1953,1914,3222,2350,3844,4637,2234,2021,3794,4261,4079,1559,19894,7119,6054,25141,8213,13002,3369,648,491
"Houston-Galveston Area Council--Brazoria County (Southwest)--Lake Jackson City PUMA, Texas",106858,4615,5062,2286,2473,1083,1875,1543,1385,1227,2413,1148,1558,3190,2951,5004,818,20866,4858,6764,15367,5439,11688,2604,400,241
"Fort Bend County (East)--Missouri City PUMA, Texas",110889,4250,4509,1284,1107,1158,1389,1290,1649,1131,2514,1534,1993,3086,2015,4323,1752,16592,2342,3892,14606,5104,20256,10883,823,1407
"Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA, Texas",141875,3619,5080,2327,2486,546,3360,2299,1969,2150,2824,1468,2612,1159,2805,3015,1007,18319,1864,3897,19544,7234,30359,14849,4660,2423
"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA; Texas",122953,7094,5262,2521,2259,1076,2236,2440,1292,3448,2575,2762,1745,3629,4200,3663,596,17150,3040,5397,15081,4080,19091,9541,1744,1031
"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA; Texas",183014,8325,7024,4058,3621,2125,3286,3898,4241,3432,4062,3932,3476,3835,3258,3213,1765,25872,3431,6567,24448,8452,33366,13425,1505,2397
"Fort Bend County (West & South) PUMA, Texas",229430,9528,8718,5529,5191,3994,5325,2634,4045,4962,6994,3861,6168,6324,6436,4418,2140,24856,4709,9213,20614,8995,45442,18378,4021,6935
"Houston-Galveston Area Council (West) PUMA, Texas",182153,4878,9188,3960,2432,3535,2414,5137,4428,3065,5032,2829,5524,4147,5571,5012,3384,34464,4573,10590,25343,8390,19081,7182,1345,649
