Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Jefferson County (North Central)--Beaumont City PUMA, Texas",49099.37232
"Jefferson County (Outside Beaumont City)--Port Arthur City PUMA, Texas",43805.19269
"Houston-Galveston Area Council--Liberty & Chambers Counties PUMA, Texas",64929.12886
"Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",72942.96358
"Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA, Texas",91216.05935
"Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA, Texas",125841.8069
"Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",95915.43247
"Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA, Texas",89656.5963
"Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA, Texas",47965.58374
"Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610 PUMA; Texas",65396.2253
"Houston City (West Central)--South of I-10 & Inside Loop I-610 PUMA, Texas",126013.3691
"Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA, Texas",47507.9525
"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA; Texas",44608.79936
"Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",48663.96469
"Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA, Texas",33642.15628
"Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA, Texas",52729.7011
"Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA, Texas",47053.59104
"Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",55215.13126
"Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",73323.54548
"Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",96848.37063
"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA; Texas",38004.74843
"Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",57968.89773
"Houston City (Southwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",57101.78797
"Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",50667.48238
"Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA, Texas",41657.51357
"Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA, Texas",53218.43307
"Houston (Southeast) & Webster Cities PUMA, Texas",67416.05086
"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA; Texas",92141.24285
"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA; Texas",70824.55627
"Harris County (East)--Baytown City PUMA, Texas",53690.65057
"Harris County (Northeast)--Houston City (Far Northeast) PUMA, Texas",110036.7524
"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",86470.14705
"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",41280.84757
"Harris County (Far North)--Spring PUMA, Texas",76754.00143
"Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA, Texas",70787.29642
"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",94100.35828
"Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",128808.472
"Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",93580.85592
"Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",101591.1351
"Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",79525.78867
"Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA, Texas",80146.3231
"Houston City (West)--South of I-10 & West of TX-6 PUMA, Texas",84594.64183
"Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",88443.28765
"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA; Texas",50712.70805
"Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",53308.59757
"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA; Texas",46324.08836
"Galveston County (Northwest)--League City & Friendswood City PUMA, Texas",108126.1965
"Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA, Texas",93669.06506
"Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA, Texas",62341.61327
"Houston-Galveston Area Council--Brazoria County (Southwest)--Lake Jackson City PUMA, Texas",57614.05746
"Fort Bend County (East)--Missouri City PUMA, Texas",95736.19913
"Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA, Texas",112490.8702
"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA; Texas",86443.72875
"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA; Texas",107722.3609
"Fort Bend County (West & South) PUMA, Texas",129946.4397
"Houston-Galveston Area Council (West) PUMA, Texas",42860.50552
