Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Broward County (West)--Coral Springs & Parkland Cities PUMA, Florida",56420,98290.7671,3587.741935,12.56006735
"Broward County (North Central)--Margate & Coconut Creek Cities PUMA, Florida",58602,51130.06228,1175.801304,12.46604211
"Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities PUMA; Florida",56644,38762.69013,1369.042582,13.52739919
"Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, Florida",75537,46931.03333,1849.540821,12.52122801
"Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities PUMA; Florida",79886,47890.5931,1136.072015,14.81561225
"Broward County (Central)--Plantation & Sunrise Cities PUMA, Florida",76199,68705.16177,1651.752044,10.7790391
"Broward County (Central)--Lauderhill & Lauderdale Lakes Cities PUMA, Florida",41725,31492.42334,638.7019772,23.63532654
"Broward County (East Central)--Fort Lauderdale City (Central) PUMA, Florida",75319,60815.72883,1904.848909,13.66653832
"Broward County (Southeast)--Hollywood (North) & Dania Beach (South) Cities PUMA, Florida",50959,50456.34922,1307.279107,15.29517848
"Broward County (Central)--Davie Town & Cooper City PUMA, Florida",48147,87480.0135,2757.198704,12.97717407
"Broward County--Weston, Pembroke Pines (Northwest) Cities & Southwest Ranches Town PUMA; Florida",42767,116137.9054,4262.395468,8.104777048
"Broward County (South Central)--Miramar (West) & Pembroke Pines (Southwest) Cities PUMA, Florida",50436,69115.42133,2286.854806,10.65306527
"Broward County (Southeast)--Hollywood (South) & Pembroke Pines (East) Cities PUMA, Florida",55828,55141.02619,1439.271047,13.17976643
"Broward County (Southeast)--Miramar (East), Hallandale Beach & West Park Cities PUMA; Florida",58480,37514.09593,1108.288509,14.55384747
"Miami-Dade County (North Central)--Greater Miami Lakes Town PUMA, Florida",42120,68802.10541,1792.542877,19.6587132
"Miami-Dade County (North Central)--Miami Gardens City (North & West) PUMA, Florida",29622,55738.43191,1564.949463,14.35585038
"Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA, Florida",46244,41130.6163,1010.987912,16.97575902
"Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA, Florida",72408,32682.36838,1955.548448,11.50596619
"Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA, Florida",34717,40768.63007,962.9771294,20.23904715
"Miami-Dade County (Northeast)--Opa-Locka City, West Little River & Westview PUMA; Florida",36583,39370.56502,751.5077495,27.06729902
"Miami-Dade County (Northeast)--Hialeah City (North Central) PUMA, Florida",32216,54364.79606,844.9811584,18.74717532
"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA; Florida",47914,55673.54635,1493.793129,16.67844471
"Miami-Dade County (Northeast)--Hialeah City (South Central) PUMA, Florida",32515,43975.69645,726.8318007,24.77105951
"Miami-Dade County (Central)--Miami Springs City & Miami International Airport PUMA, Florida",36804,47492.36007,916.9647864,28.33865884
"Miami-Dade County (Northeast Central)--Miami City (North) PUMA, Florida",54633,37779.8263,668.943276,29.67245072
"Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA, Florida",73277,48452.83909,1837.861921,15.91730011
"Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA, Florida",52839,38984.18687,487.5228903,35.26488011
"Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA, Florida",66504,82068.83105,2464.289396,15.84637014
"Miami-Dade County (East Central)--Miami City (West) PUMA, Florida",42038,49823.11052,1025.087135,23.62655217
"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA; Florida",39867,130445.3473,4759.770662,9.443173552
"Miami-Dade County (East Central)--South Miami City, Westchester & Coral Terrace PUMA; Florida",36138,83467.07427,1934.739167,15.6019979
"Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami PUMA, Florida",30930,80739.06305,2355.794471,9.808503071
"Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA, Florida",33598,64470.05328,1554.522769,17.15858087
"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA; Florida",37649,86145.28699,2067.43369,11.23519881
"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA; Florida",36295,79497.69527,2374.442513,11.01443725
"Miami-Dade County (Southwest)--South Miami Heights PUMA, Florida",35647,56928.87536,1333.689455,15.85036609
"Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village PUMA, Florida",38195,89493.14649,2340.902998,12.77439455
"Miami-Dade County (South)--Homestead City (North) & Florida City (North) PUMA, Florida",33623,52035.49951,1184.06793,22.20732832
"Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA, Florida",63081,39645.54493,1473.209762,10.91748704
"Palm Beach County (Northeast) PUMA, Florida",58159,87352.9789,3327.362386,5.624237005
"Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA, Florida",65899,59811.57456,2304.762318,9.376348655
"Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA, Florida",75209,52537.57822,1551.452632,15.58898536
"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",56212,41416.25809,842.0281612,14.27374938
"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",51443,53735.64411,1327.687751,13.6239916
"Palm Beach County (East Central)--Greater Boynton Beach City (North) PUMA, Florida",82542,55830.92428,1742.388202,9.49322769
"Palm Beach County (Southeast)--Greater Delray Beach City PUMA, Florida",80135,49387.96843,1719.363387,8.363012417
"Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA, Florida",72862,88947.55593,3312.166342,6.582278828
"Palm Beach County (West of Boca Raton City) PUMA, Florida",51969,75347.671,2233.045546,6.634301218
"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",44752,112889.7695,4292.153982,4.53021094
"Palm Beach County (West)--Glades & Western Communities PUMA, Florida",50779,62900.6804,2106.1348,10.95204711
