Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Broward County (West)--Coral Springs & Parkland Cities PUMA, Florida",144800,4707,3752,2652,2565,1797,2130,1740,2399,1603,3606,2860,2286,3415,2002,3454,2416,19617,2660,6506,14876,12244,27869,12799,3276,1569
"Broward County (North Central)--Margate & Coconut Creek Cities PUMA, Florida",107282,3995,3345,1813,861,948,1316,612,1695,1408,751,989,1588,1324,1010,2165,2633,26132,1947,4770,16345,7642,16087,6245,1146,515
"Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities PUMA; Florida",92479,2340,1974,962,731,637,1109,1698,940,1477,2470,231,1193,1176,593,2449,2157,21460,2584,6146,10654,7320,14502,5658,1652,366
"Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, Florida",113809,2865,4379,1274,1280,714,1353,1471,816,2194,2388,1004,1301,2006,2239,3319,2712,22398,2245,5514,13523,6916,18188,9275,3027,1408
"Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities PUMA; Florida",151724,4236,6012,740,1187,2339,2031,1932,2005,1231,3382,2577,3317,4026,3943,3094,4291,33619,4113,8724,16755,11543,19781,7657,1825,1364
"Broward County (Central)--Plantation & Sunrise Cities PUMA, Florida",156440,5349,1618,1924,1378,1700,2242,1721,2256,1311,2166,1671,2677,2152,3140,3324,3668,25998,4171,7518,19088,16788,29750,10003,3932,895
"Broward County (Central)--Lauderhill & Lauderdale Lakes Cities PUMA, Florida",87960,4125,3663,1357,669,1428,938,1149,1790,1983,2428,1321,1946,1975,3205,2811,2671,18853,1867,3715,12583,5585,7774,3013,686,425
"Broward County (East Central)--Fort Lauderdale City (Central) PUMA, Florida",126054,2717,1448,521,1114,518,758,1184,1382,1946,1996,1696,1970,3563,3612,3378,3078,24638,2891,5387,13011,9735,23194,10993,3955,1369
"Broward County (Southeast)--Hollywood (North) & Dania Beach (South) Cities PUMA, Florida",95645,3758,2129,1687,864,647,838,1139,1422,1599,1972,1588,1350,1752,2665,1952,1684,19483,1703,3448,11563,8518,14138,6529,2419,798
"Broward County (Central)--Davie Town & Cooper City PUMA, Florida",112746,3563,3666,1054,1480,1484,685,1470,1366,1397,2022,1573,3196,2915,1248,2291,2319,18973,2203,5836,12661,7585,20801,8508,3572,878
