Selected Geographies,Gross rent as a percentage of household income past 12 months
"Broward County (West)--Coral Springs & Parkland Cities PUMA, Florida",12.56006735
"Broward County (North Central)--Margate & Coconut Creek Cities PUMA, Florida",12.46604211
"Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities PUMA; Florida",13.52739919
"Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, Florida",12.52122801
"Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities PUMA; Florida",14.81561225
"Broward County (Central)--Plantation & Sunrise Cities PUMA, Florida",10.7790391
"Broward County (Central)--Lauderhill & Lauderdale Lakes Cities PUMA, Florida",23.63532654
"Broward County (East Central)--Fort Lauderdale City (Central) PUMA, Florida",13.66653832
"Broward County (Southeast)--Hollywood (North) & Dania Beach (South) Cities PUMA, Florida",15.29517848
"Broward County (Central)--Davie Town & Cooper City PUMA, Florida",12.97717407
"Broward County--Weston, Pembroke Pines (Northwest) Cities & Southwest Ranches Town PUMA; Florida",8.104777048
"Broward County (South Central)--Miramar (West) & Pembroke Pines (Southwest) Cities PUMA, Florida",10.65306527
"Broward County (Southeast)--Hollywood (South) & Pembroke Pines (East) Cities PUMA, Florida",13.17976643
"Broward County (Southeast)--Miramar (East), Hallandale Beach & West Park Cities PUMA; Florida",14.55384747
"Miami-Dade County (North Central)--Greater Miami Lakes Town PUMA, Florida",19.6587132
"Miami-Dade County (North Central)--Miami Gardens City (North & West) PUMA, Florida",14.35585038
"Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA, Florida",16.97575902
"Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA, Florida",11.50596619
"Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA, Florida",20.23904715
"Miami-Dade County (Northeast)--Opa-Locka City, West Little River & Westview PUMA; Florida",27.06729902
"Miami-Dade County (Northeast)--Hialeah City (North Central) PUMA, Florida",18.74717532
"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA; Florida",16.67844471
"Miami-Dade County (Northeast)--Hialeah City (South Central) PUMA, Florida",24.77105951
"Miami-Dade County (Central)--Miami Springs City & Miami International Airport PUMA, Florida",28.33865884
"Miami-Dade County (Northeast Central)--Miami City (North) PUMA, Florida",29.67245072
"Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA, Florida",15.91730011
"Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA, Florida",35.26488011
"Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA, Florida",15.84637014
"Miami-Dade County (East Central)--Miami City (West) PUMA, Florida",23.62655217
"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA; Florida",9.443173552
"Miami-Dade County (East Central)--South Miami City, Westchester & Coral Terrace PUMA; Florida",15.6019979
"Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami PUMA, Florida",9.808503071
"Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA, Florida",17.15858087
"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA; Florida",11.23519881
"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA; Florida",11.01443725
"Miami-Dade County (Southwest)--South Miami Heights PUMA, Florida",15.85036609
"Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village PUMA, Florida",12.77439455
"Miami-Dade County (South)--Homestead City (North) & Florida City (North) PUMA, Florida",22.20732832
"Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA, Florida",10.91748704
"Palm Beach County (Northeast) PUMA, Florida",5.624237005
"Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA, Florida",9.376348655
"Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA, Florida",15.58898536
"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",14.27374938
"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",13.6239916
"Palm Beach County (East Central)--Greater Boynton Beach City (North) PUMA, Florida",9.49322769
"Palm Beach County (Southeast)--Greater Delray Beach City PUMA, Florida",8.363012417
"Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA, Florida",6.582278828
"Palm Beach County (West of Boca Raton City) PUMA, Florida",6.634301218
"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",4.53021094
"Palm Beach County (West)--Glades & Western Communities PUMA, Florida",10.95204711
