Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
 -> Total,4218636,134703,126273,68963,48889,45013,51120,55140,56966,57523,62408,56202,76857,74172,79182,88095,48710,651825,77805,161418,422348,212263,864025,482408,111956,104372
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",117106,4201,1557,1456,1312,764,1974,1325,1419,2201,1735,1511,2438,2668,2829,2549,1804,19662,1330,5163,10722,6833,23938,13538,1818,2359
"Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",111707,5014,6571,960,1716,895,2362,1695,1453,1742,1587,1880,2617,2833,2330,3605,1951,26307,4006,6658,12754,4131,12406,5125,612,497
"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",148589,4348,4113,2310,1720,1366,1585,2097,2403,1521,2216,1519,2697,1515,2174,2951,917,18546,1925,4922,10387,5971,35752,24763,4042,6829
"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",149458,3705,3145,2902,1206,1604,1558,1144,1581,1256,3259,1391,2143,2533,2666,1651,1120,26797,1933,6071,13111,7919,33774,18909,4361,3719
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",131688,4559,2945,2984,751,1404,949,1902,1711,1488,2221,2225,1719,1210,2712,2307,783,12992,977,2037,7016,4464,32703,25183,6643,7803
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",118021,3410,1833,1860,1084,443,202,1424,697,686,992,678,738,966,376,1097,775,8543,1147,3330,13706,2191,29942,24339,5029,12533
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",128216,4185,6221,1447,1758,1068,1014,871,1345,804,1662,781,1243,1136,1959,3305,3550,18413,2352,3883,12234,5101,31727,16731,1923,3503
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",118799,3749,5052,1829,1414,2046,311,1527,1446,2106,1253,1593,1419,1452,1709,839,2167,23778,3361,4063,10169,4884,25915,13088,1421,2208
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",194717,7664,8090,2373,2479,3516,3414,2967,5411,3056,3912,3400,5981,5399,8629,6560,3331,40796,5142,8122,24437,11549,19419,7231,1179,660
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",116455,3881,1938,2277,1329,1229,1741,2025,1659,2238,1325,1771,1832,1700,2276,2381,1383,15433,1488,3989,11445,6517,28135,13703,2965,1795
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",209181,4629,5629,1993,2246,1520,1784,4238,2690,2544,2975,1973,5141,3040,2987,2419,975,39177,2375,7813,21350,12745,44817,25693,4486,3942
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",111744,4685,6698,1720,382,2847,2747,1759,2442,2881,3706,1484,3024,3052,3384,3434,2131,22002,2381,5256,11341,5924,11891,4614,1312,647
