Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",118043.3976
"Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",66034.04928
"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",134962.5619
"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",101087.5345
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",152012.2563
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",118875.6629
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",91823.31642
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",94217.33186
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",71186.25889
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",141452.6942
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",99933.39437
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",75734.68139
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",159325.7517
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",144364.141
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",75145.18386
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",116388.1751
"Boston City--Dorchester & South Boston PUMA, Massachusetts",89927.65835
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",47153.11798
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",98594.10237
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",73266.93147
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",176359.3506
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",237651.3404
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",139806.6754
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",107779.8518
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",94827.85962
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",76180.52232
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",104593.4996
"Plymouth County (Central) PUMA, Massachusetts",109665.1202
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",114340.8278
"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties PUMA; New Hampshire",73042.54687
"Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA, New Hampshire",94817.56285
