Selected Geographies,Property taxes (yearly real estate taxes)
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",4934.975312
"Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",1456.126326
"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",4772.632546
"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",3380.15499
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",5213.914197
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",1643.259175
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",1727.002404
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",2268.102749
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",1914.021876
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",5459.405222
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",3713.183334
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",2467.449176
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",7211.651357
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",5812.701399
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",690.6671639
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",2244.742899
"Boston City--Dorchester & South Boston PUMA, Massachusetts",1408.415843
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",703.2053489
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",1717.98676
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",2014.324999
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",5560.942086
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",9344.159334
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",5028.529382
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",3565.75519
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",2758.694051
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",2467.20172
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",3623.980713
"Plymouth County (Central) PUMA, Massachusetts",4644.371338
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",4926.30156
"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties PUMA; New Hampshire",3449.632237
"Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA, New Hampshire",4712.195565
