Selected Geographies,Gross rent as a percentage of household income past 12 months
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",6.852829518
"Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",21.35685672
"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",11.95041027
"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",11.50157963
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",12.48961944
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",23.55887627
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",21.48938063
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",17.5368243
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",19.43953041
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",8.555082138
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",13.84737417
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",18.4058276
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",7.25487957
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",5.948268617
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",32.10943209
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",21.07584858
"Boston City--Dorchester & South Boston PUMA, Massachusetts",17.91569053
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",29.27986796
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",15.73529305
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",21.76740146
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",11.45444747
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",4.209158138
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",6.529764782
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",9.861677093
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",16.09481985
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",13.88957292
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",7.838127505
"Plymouth County (Central) PUMA, Massachusetts",3.747332273
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",6.383860992
"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties PUMA; New Hampshire",10.12320871
"Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA, New Hampshire",6.440507299
