Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",51648,57025.0573,841.1473436,7.261520291
"Bluegrass Area Development District (Northeast) PUMA, Kentucky",59228,60888.4861,877.8486189,8.066235564
"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",69858,70126.1973,1214.576899,9.046852186
"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",50035,88968.4887,1453.845828,8.267732587
"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",71533,54021.168,1222.834538,9.796164008
"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",64100,30756.2885,444.039142,6.521482059
"Warren County (East)--Lebanon & Springboro (East) Cities PUMA, Ohio",44436,96115.0011,3027.155707,6.745769196
"Warren County (West)--Mason, Franklin & Springboro (West) Cities PUMA; Ohio",44008,103864.711,2723.060398,8.701054354
"Butler County (Southeast)--Monroe City & Beckett Ridge PUMA, Ohio",43562,106855.153,3265.042514,6.58385749
"Butler County (South Central)--Hamilton & Fairfield Cities PUMA, Ohio",55041,59558.3627,1250.85251,12.02300104
"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA; Ohio",54122,54805.9488,1241.323029,11.4198108
"Hamilton County (West)--Mack & Dent PUMA, Ohio",44374,85184.0731,2545.95103,4.630301528
"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA; Ohio",65281,63265.4273,1630.090516,10.83344312
"Cincinnati City (West) PUMA, Ohio",56865,31425.4965,673.9801811,19.12200827
"Cincinnati City (Central) PUMA, Ohio",67406,38620.3216,766.0002522,22.57082456
"Cincinnati (East) & Norwood Cities PUMA, Ohio",54559,87204.5906,2143.462325,14.41122455
"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA; Ohio",49487,76908.0294,2187.66662,13.79093499
"Hamilton County (East)--Loveland, Montgomery Cities & Forestville PUMA; Ohio",42076,134448.553,4783.407952,8.366836201
"Clermont County (West) PUMA, Ohio",54708,82663.0718,2397.714228,8.434726183
"Clermont (East) & Brown Counties PUMA, Ohio",49470,54769.3099,1283.332545,4.471942591
