Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
 -> Total,2537515,100409,70238,37774,31912,29672,32686,37383,35398,38100,37800,37449,62635,57725,72359,65075,30432,533355,86816,125416,296080,149075,355349,158462,30262,25653
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",118733,4034,4066,1267,1495,917,1799,1658,745,1595,1616,2107,3552,3620,4210,2779,2520,35311,4603,5734,11511,7672,9930,4662,813,517
"Bluegrass Area Development District (Northeast) PUMA, Kentucky",140249,5157,5058,1768,2388,1606,1530,2037,1621,2411,2796,2698,2793,4265,4736,3636,1336,29263,5448,9439,17795,10063,13226,7288,1046,845
"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",166731,7146,5520,2307,2243,2414,3355,2063,2913,2156,2409,2256,3130,2661,3292,4368,2105,32313,6537,8646,20484,11413,23749,10411,2328,512
"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",131487,6607,2633,1954,2693,1118,1844,1667,1604,1868,1198,3479,2696,2747,3309,2547,703,27767,4939,7421,16214,6276,19994,8379,919,911
"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",162583,6794,3606,1725,3201,2023,1629,2316,2190,2375,2890,1897,3477,4046,5340,4291,1901,39148,9570,7300,19643,8575,17955,7767,1388,1536
"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",138040,5278,4210,1395,1611,1208,1157,2662,2271,2224,2673,3468,8094,5708,5320,5224,1218,30318,10712,9236,14472,6109,8213,4409,476,374
"Warren County (East)--Lebanon & Springboro (East) Cities PUMA, Ohio",113157,4865,2735,1717,1456,1409,1725,1729,3959,747,2811,2224,2028,1765,2315,2566,1190,19339,2525,4340,11658,7479,20253,9509,1306,1507
"Warren County (West)--Mason, Franklin & Springboro (West) Cities PUMA; Ohio",118777,3627,2750,1763,1083,1309,2098,916,1094,2568,1719,1886,2598,3766,3170,2741,908,20930,3407,4044,12473,4407,23471,11075,1586,3388
"Butler County (Southeast)--Monroe City & Beckett Ridge PUMA, Ohio",121404,4287,4739,3240,1974,804,1832,2034,2007,2668,1564,2025,4575,2220,2542,2650,1043,17157,1661,4622,12300,6757,24432,9580,2407,2284
"Butler County (South Central)--Hamilton & Fairfield Cities PUMA, Ohio",131240,4771,4947,3205,1743,1387,1926,969,1024,1926,2132,1717,3220,3024,3351,3782,2075,35089,4766,6840,16760,7882,12482,5596,389,237
"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA; Ohio",129759,3723,3492,792,1407,652,1402,1414,1094,1358,1592,1940,2473,3012,3934,4571,2260,36323,5353,8039,18616,6572,13758,3165,856,1961
"Hamilton County (West)--Mack & Dent PUMA, Ohio",106558,4579,3152,1978,1588,1327,1369,1361,837,1689,1411,702,2022,2388,2666,2626,1387,22761,2611,4054,10172,10101,17819,6931,604,423
"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA; Ohio",152735,6879,2884,1334,2327,2355,1029,4392,2799,3085,1659,1974,2825,2561,2960,2624,2376,36036,2471,10271,21135,10033,18745,8729,333,919
"Cincinnati City (West) PUMA, Ohio",111345,6584,3778,1437,1155,1023,904,2331,2661,2327,3188,2081,3048,2736,5761,4307,1942,22867,5160,4556,10874,5703,11279,4155,581,907
"Cincinnati City (Central) PUMA, Ohio",121034,4497,3035,1460,503,1942,1091,1543,863,1322,1270,1085,1784,2780,4441,3606,1444,24691,3113,5025,20925,4084,17468,9394,2057,1611
"Cincinnati (East) & Norwood Cities PUMA, Ohio",110246,4081,2495,1491,787,1253,888,1317,1577,1037,1229,636,2094,1394,2444,1683,1438,15084,2673,3119,11074,7453,27041,11525,4413,2020
"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA; Ohio",106091,3812,3469,1312,974,1021,1475,1793,963,1409,997,632,2530,2267,2040,2221,1209,18954,2545,5653,12613,7309,17630,9318,2396,1549
"Hamilton County (East)--Loveland, Montgomery Cities & Forestville PUMA; Ohio",108701,3728,2026,3299,722,1458,2216,1568,1590,2223,1761,1642,3668,2021,2987,1505,903,9014,869,3284,10098,4484,28395,12492,4112,2636
"Clermont County (West) PUMA, Ohio",131994,5427,2631,2843,1236,2653,1850,2599,1380,1693,1401,1240,3162,1325,3622,2139,860,31076,3588,5745,14745,8826,19010,10121,1627,1195
"Clermont (East) & Brown Counties PUMA, Ohio",116651,4533,3012,1487,1326,1793,1567,1014,2206,1419,1484,1760,2866,3419,3919,5209,1614,29914,4265,8048,12518,7877,10499,3956,625,321
