Selected Geographies,number
 -> Total,11332
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",632
"Bluegrass Area Development District (Northeast) PUMA, Kentucky",665
"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",759
"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",377
"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",837
"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",832
"Warren County (East)--Lebanon & Springboro (East) Cities PUMA, Ohio",369
"Warren County (West)--Mason, Franklin & Springboro (West) Cities PUMA; Ohio",450
"Butler County (Southeast)--Monroe City & Beckett Ridge PUMA, Ohio",404
"Butler County (South Central)--Hamilton & Fairfield Cities PUMA, Ohio",494
"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA; Ohio",652
"Hamilton County (West)--Mack & Dent PUMA, Ohio",457
"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA; Ohio",571
"Cincinnati City (West) PUMA, Ohio",534
"Cincinnati City (Central) PUMA, Ohio",831
"Cincinnati (East) & Norwood Cities PUMA, Ohio",567
"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA; Ohio",458
"Hamilton County (East)--Loveland, Montgomery Cities & Forestville PUMA; Ohio",423
"Clermont County (West) PUMA, Ohio",488
"Clermont (East) & Brown Counties PUMA, Ohio",532
