Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",57025.05731
"Bluegrass Area Development District (Northeast) PUMA, Kentucky",60888.48609
"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",70126.19729
"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",88968.48866
"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",54021.16799
"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",30756.28852
"Warren County (East)--Lebanon & Springboro (East) Cities PUMA, Ohio",96115.00113
"Warren County (West)--Mason, Franklin & Springboro (West) Cities PUMA; Ohio",103864.7112
"Butler County (Southeast)--Monroe City & Beckett Ridge PUMA, Ohio",106855.1533
"Butler County (South Central)--Hamilton & Fairfield Cities PUMA, Ohio",59558.36268
"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA; Ohio",54805.94878
"Hamilton County (West)--Mack & Dent PUMA, Ohio",85184.07311
"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA; Ohio",63265.42731
"Cincinnati City (West) PUMA, Ohio",31425.49653
"Cincinnati City (Central) PUMA, Ohio",38620.32163
"Cincinnati (East) & Norwood Cities PUMA, Ohio",87204.59063
"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA; Ohio",76908.02938
"Hamilton County (East)--Loveland, Montgomery Cities & Forestville PUMA; Ohio",134448.5526
"Clermont County (West) PUMA, Ohio",82663.07176
"Clermont (East) & Brown Counties PUMA, Ohio",54769.30988
