Selected Geographies,Gross rent as a percentage of household income past 12 months
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",7.261520291
"Bluegrass Area Development District (Northeast) PUMA, Kentucky",8.066235564
"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",9.046852186
"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",8.267732587
"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",9.796164008
"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",6.521482059
"Warren County (East)--Lebanon & Springboro (East) Cities PUMA, Ohio",6.745769196
"Warren County (West)--Mason, Franklin & Springboro (West) Cities PUMA; Ohio",8.701054354
"Butler County (Southeast)--Monroe City & Beckett Ridge PUMA, Ohio",6.58385749
"Butler County (South Central)--Hamilton & Fairfield Cities PUMA, Ohio",12.02300104
"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA; Ohio",11.4198108
"Hamilton County (West)--Mack & Dent PUMA, Ohio",4.630301528
"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA; Ohio",10.83344312
"Cincinnati City (West) PUMA, Ohio",19.12200827
"Cincinnati City (Central) PUMA, Ohio",22.57082456
"Cincinnati (East) & Norwood Cities PUMA, Ohio",14.41122455
"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA; Ohio",13.79093499
"Hamilton County (East)--Loveland, Montgomery Cities & Forestville PUMA; Ohio",8.366836201
"Clermont County (West) PUMA, Ohio",8.434726183
"Clermont (East) & Brown Counties PUMA, Ohio",4.471942591
