Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA, New Jersey",419,95849.76584,4756.184159,16.5444447
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",457,98997.81602,4901.303865,15.69530983
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA; New Jersey",576,92324.50559,4004.832299,16.8142855
"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",413,98367.73182,5268.004754,15.1460273
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA; New Jersey",459,182908.27,11523.81172,5.011480602
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA; New Jersey",489,161054.8044,10034.96604,6.330750321
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA; New Jersey",486,127337.8532,7607.593673,9.139478117
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",457,189366.6416,11284.16973,5.627922935
"Passaic County (Southeast)--Paterson City PUMA, New Jersey",459,53580.04729,1819.897085,28.42421271
"Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA, New Jersey",431,72297.39294,3342.10969,24.43172342
"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",389,111714.0734,7159.473984,10.84167034
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA; New Jersey",483,133916.4457,9186.440296,4.901546823
"Hunterdon County PUMA, New Jersey",755,132050.6025,7732.774468,6.094918143
"Middlesex County (Southeast) PUMA, New Jersey",502,102012.261,5982.900594,8.609399936
"Middlesex County (Southwest) PUMA, New Jersey",450,139894.6122,6693.946281,11.5633266
"Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA, New Jersey",462,113922.5534,5921.182421,9.940985246
"Middlesex County (North Central)--Metuchen Borough PUMA, New Jersey",496,112176.0983,5365.901596,12.92995576
"Middlesex County (Northeast)--Carteret Borough PUMA, New Jersey",450,87323.48975,5058.485687,9.655229393
"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA; New Jersey",943,83337.13517,4144.998036,16.94664375
"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, New Jersey",389,73245.00712,3136.896202,19.29031936
"Somerset County (North & West) PUMA, New Jersey",503,197912.0051,8951.499383,4.669739792
"Somerset County (South) PUMA, New Jersey",415,127188.1475,6989.921707,7.404422874
"Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA, New Jersey",468,100892.4632,5775.832566,10.98386616
"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, New Jersey",589,101984.9396,4907.494496,11.03273461
"Monmouth County (Southwest)--Freehold Borough PUMA, New Jersey",426,130191.4537,7198.588826,6.649364992
"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA; New Jersey",594,74867.96298,4184.005053,15.08183728
"Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA, New Jersey",457,145520.8592,7246.133954,7.599271095
"Monmouth County (Northwest)--Keansburg Borough PUMA, New Jersey",442,115790.7586,6995.22331,7.779066451
"Monmouth County (Central) PUMA, New Jersey",392,141481.3595,8019.327289,4.553546822
"Ocean County (South) PUMA, New Jersey",863,38724.85635,3347.217543,4.139527467
"Ocean County (Central)--Beachwood Borough PUMA, New Jersey",656,56168.05959,3324.065034,6.400389002
"Ocean County (North Central) PUMA, New Jersey",449,75300.15149,3977.518276,12.10022291
"Ocean County (Northwest) PUMA, New Jersey",491,74317.58866,4329.075151,6.731668377
"Ocean County (Northeast)--Point Pleasant Borough PUMA, New Jersey",648,76896.85713,4665.841346,5.534132773
"Essex County (Southeast)--Newark City (North & East) PUMA, New Jersey",631,48359.59571,1398.812962,31.06021432
"Essex County (Southeast)--Newark City (Southwest) PUMA, New Jersey",524,34083.23453,1151.35399,27.34972011
"Essex County (Northeast) PUMA, New Jersey",505,85476.30801,5792.952147,16.24378827
"Essex County (South Central)--East Orange City PUMA, New Jersey",785,63543.33354,3563.050722,24.85401959
"Essex County (Northwest) PUMA, New Jersey",472,166242.1918,9329.353084,9.606520018
"Essex County (Southwest) PUMA, New Jersey",392,188110.4144,10671.51659,5.868223797
"Morris County (North)--Dover Town & Kinnelon Borough PUMA, New Jersey",510,110684.8683,6165.11456,8.605978892
"Morris County (West) PUMA, New Jersey",566,135347.8001,7528.005149,7.177734812
"Morris County (East)--Lincoln Park Borough PUMA, New Jersey",496,142346.7444,7369.278138,8.423240629
"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA; New Jersey",623,185632.4356,7838.826956,7.453280027
"Sussex County PUMA, New Jersey",812,88799.01522,5852.023486,5.37962416
"Union County (Northeast)--Elizabeth City PUMA, New Jersey",428,54539.00532,2294.445484,27.66372994
"Union County (North Central)--Roselle Park Borough PUMA, New Jersey",379,94118.3957,5408.45033,13.09170879
"Union County (Northwest)--Summit City & Westfield Town (North) PUMA, New Jersey",414,181319.3008,9438.634656,10.49062117
"Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA, New Jersey",323,137839.7891,7967.722861,11.63934155
"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA; New Jersey",418,90201.59262,5525.892657,12.52887136
"Rockland County (North)--New City & Congers PUMA, New York",377,117999.8608,8540.847854,8.180908183
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",439,114196.5554,7504.250943,9.986931934
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",351,71485.272,5024.478654,21.06831338
"Putnam County PUMA, New York",433,113951.4467,7258.728275,5.074278744
"Westchester County (Northwest) PUMA, New York",651,126873.8092,7529.226756,12.9269843
"Westchester County (Northeast) PUMA, New York",569,183530.2714,10065.36095,6.264260746
"Westchester County (Southeast) PUMA, New York",460,199546.3312,9272.698101,10.8207268
"Westchester County (Central)--White Plains City PUMA, New York",730,170021.2292,8126.40411,12.48068076
"Westchester County (Southwest)--Yonkers City PUMA, New York",756,72891.8455,2929.59808,23.04463964
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",776,123219.1878,5958.731986,20.73969461
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",635,191871.1058,10763.73416,7.162756734
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",601,174713.0871,9955.96263,11.16449401
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",368,135294.0219,9020.251018,4.413663069
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",442,135563.3089,8277.073778,7.665606352
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",421,146240.0479,9257.160542,6.04287922
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",499,83167.44206,4917.817807,14.79529852
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",414,134932.0354,8905.972016,4.449819121
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",454,129265.6065,10023.65842,4.073921344
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",349,149146.6083,10605.41335,2.750310183
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",379,133562.1937,8674.681616,9.242658382
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",334,120680.4896,8587.484513,6.898019723
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",405,118144.2259,6561.871963,10.526861
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",425,153125.1828,9457.188456,4.874133644
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",387,146842.6728,10489.64319,2.902240326
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",503,156198.3732,9914.792348,3.24127376
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",598,119324.9425,8743.983393,3.915786992
"Suffolk County (East) PUMA, New York",1059,36190.23638,3213.15389,3.841528277
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",543,81334.08806,5104.135808,13.50554993
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",383,99004.13281,6133.520853,11.044145
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",424,100834.038,6483.200186,9.172577648
"Suffolk County (Central)--Islip Town (East) PUMA, New York",394,106888.6053,6061.925581,13.03878124
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",330,83937.85557,5249.998538,9.591725109
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",459,112226.5003,8232.770153,6.719218968
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",374,98057.75643,7447.852023,7.316423264
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",366,92405.73771,5974.574207,14.30970699
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",495,89450.98726,1063.511388,27.53199001
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",437,59299.52839,1277.712866,29.52432183
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",359,67076.48624,1422.504923,19.75653121
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",501,66115.14449,1432.626945,26.23581434
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",594,36879.48948,216.8863665,42.3608249
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",348,39307.1927,231.7164455,40.61181443
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",437,38386.59913,83.3502784,43.22989407
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",380,41404.20198,154.1802265,39.41755185
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",522,53193.50585,726.1304833,30.69473865
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",524,34585.92818,235.9743289,39.18352
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",603,60138.80171,281.8248205,33.05495853
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",516,82922.33135,807.1557471,26.90339645
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",489,73167.75466,281.343297,30.97778987
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",450,47614.85476,318.1497833,30.09757315
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",717,142041.2582,2874.887744,16.41964216
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",594,169683.3653,3183.83392,15.81023261
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",706,137122.067,1594.717859,21.09517007
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",528,141586.316,2148.129549,18.66620041
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",641,70521.56581,638.9020631,29.88849238
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",721,168651.9074,2368.864748,15.53174155
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",493,104223.8407,4217.492336,5.191686061
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",477,94729.16988,3569.358064,9.907751722
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",677,72392.90559,1989.10168,16.67325593
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",666,106624.9632,567.997835,26.54805286
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",430,66183.10455,541.3295929,33.1655485
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",538,72199.16516,786.3831399,29.7976721
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",753,140797.0058,1609.415478,21.72682913
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",560,153370.1547,2006.270117,18.32163352
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",517,79698.60462,765.6622969,28.43134261
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",443,42012.19325,430.4992584,32.55497775
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",529,50814.48807,801.948177,24.83683421
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",878,81366.44415,2621.017744,13.53121951
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",547,62744.72454,1334.75144,21.12457241
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",378,72360.99823,642.2437518,31.99654402
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",458,80336.21768,1145.995164,27.75343659
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",670,87531.2796,2500.739915,19.94212588
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",568,57406.15753,1964.756382,27.35736691
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",609,67726.74716,1211.43239,29.78162395
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",743,84748.20686,2275.183174,21.02525834
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",768,67105.03037,2181.43141,26.05247818
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",429,49833.31656,911.9284819,27.4877588
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",930,57469.24062,898.0100987,22.82758815
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",523,60956.24212,1217.862867,23.40959336
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",871,69021.70939,2285.389303,20.02739168
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",529,92511.00511,4044.498414,11.53374598
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",736,99910.29267,3311.463046,8.312743009
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",572,80608.11141,2240.329506,20.21838745
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",378,58707.52871,992.364349,30.01876906
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",532,96754.69378,1958.443051,17.76528444
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",544,70865.91602,1184.095776,20.9697963
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",816,81887.30352,1981.757877,21.13063004
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",592,78009.70323,1855.267614,18.67293969
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",831,70511.95458,1844.860984,19.80896773
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",438,88342.05335,2894.175438,11.11114585
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",424,71266.50733,1193.535179,17.66267783
"Pike, Wayne & Susquehanna Counties PUMA; Pennsylvania",1388,21993.56053,1291.843254,4.875553074
