Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA, New Jersey",111109,3980,3914,1058,1839,1284,1301,788,1015,1411,3787,1607,2399,1064,1565,2253,564,18008,1452,3858,13670,4429,23455,11400,3371,1637
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",124779,4052,2017,2018,754,1257,998,1409,872,2441,1984,1085,2476,2212,2610,2409,1661,27451,1644,7813,14405,6026,26017,8658,2059,451
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA; New Jersey",146178,4315,4702,2073,2179,1718,1551,609,1830,1867,3258,2054,2647,1053,1696,2036,1134,28066,1386,3936,14754,6341,35702,14121,4240,2910
"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",124269,5317,3403,2127,1820,1740,1334,2015,2291,1389,2316,3350,3052,2630,1302,2482,1770,27914,2519,5642,14942,6200,18968,7648,1510,588
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA; New Jersey",106822,3293,1902,2417,1289,1160,2096,2254,1621,1708,3123,940,3071,1729,1428,3555,535,12288,754,2332,6963,3750,25957,14743,6280,1634
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA; New Jersey",102174,2424,1450,1873,1468,1186,1090,1662,1077,1637,1803,1658,1704,2588,2101,3438,1265,12498,868,3931,8290,5059,28865,11355,1813,1071
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA; New Jersey",119476,3541,3048,2190,3130,1355,1031,1522,981,1532,1960,1500,2285,1992,2111,1484,1773,19857,2028,5806,12114,5867,28330,9910,2512,1617
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",102104,3272,1921,2823,1233,1607,1575,970,1853,2139,1510,2336,1409,1338,1954,2687,939,11882,640,2506,6480,5028,26754,14216,3347,1685
"Passaic County (Southeast)--Paterson City PUMA, New Jersey",145368,7635,6791,2327,3022,3046,3951,1866,4959,2391,4778,2803,6418,3637,4844,5781,2409,40205,2173,3766,17465,3167,10093,1632,209,0
"Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA, New Jersey",138423,5520,6682,2748,1448,3132,1389,2881,2777,1886,4097,2227,6622,3955,2719,4221,1645,35812,3639,4295,13655,5484,15605,4110,1183,691
"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",115498,4810,5084,1855,1360,55,1265,1835,1346,1600,1873,1365,2981,2552,1534,3718,2348,22450,2381,3919,10038,4471,24384,10613,1003,658
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA; New Jersey",103267,3061,2489,1313,977,739,1353,765,1520,545,1217,1141,1620,1404,1262,2592,911,23092,1439,4338,10819,5436,22685,8809,2219,1521
