Selected Geographies,number
 -> Total,75521
"Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA, New Jersey",419
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",457
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA; New Jersey",576
"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",413
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA; New Jersey",459
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA; New Jersey",489
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA; New Jersey",486
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",457
"Passaic County (Southeast)--Paterson City PUMA, New Jersey",459
"Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA, New Jersey",431
"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",389
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA; New Jersey",483
"Hunterdon County PUMA, New Jersey",755
"Middlesex County (Southeast) PUMA, New Jersey",502
"Middlesex County (Southwest) PUMA, New Jersey",450
"Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA, New Jersey",462
"Middlesex County (North Central)--Metuchen Borough PUMA, New Jersey",496
"Middlesex County (Northeast)--Carteret Borough PUMA, New Jersey",450
"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA; New Jersey",943
"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, New Jersey",389
"Somerset County (North & West) PUMA, New Jersey",503
"Somerset County (South) PUMA, New Jersey",415
"Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA, New Jersey",468
"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, New Jersey",589
"Monmouth County (Southwest)--Freehold Borough PUMA, New Jersey",426
"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA; New Jersey",594
