Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA, New Jersey",95849.76584
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",98997.81602
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA; New Jersey",92324.50559
"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",98367.73182
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA; New Jersey",182908.27
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA; New Jersey",161054.8044
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA; New Jersey",127337.8532
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",189366.6416
"Passaic County (Southeast)--Paterson City PUMA, New Jersey",53580.04729
"Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA, New Jersey",72297.39294
"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",111714.0734
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA; New Jersey",133916.4457
"Hunterdon County PUMA, New Jersey",132050.6025
"Middlesex County (Southeast) PUMA, New Jersey",102012.261
"Middlesex County (Southwest) PUMA, New Jersey",139894.6122
"Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA, New Jersey",113922.5534
"Middlesex County (North Central)--Metuchen Borough PUMA, New Jersey",112176.0983
"Middlesex County (Northeast)--Carteret Borough PUMA, New Jersey",87323.48975
"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA; New Jersey",83337.13517
"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, New Jersey",73245.00712
"Somerset County (North & West) PUMA, New Jersey",197912.0051
"Somerset County (South) PUMA, New Jersey",127188.1475
"Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA, New Jersey",100892.4632
"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, New Jersey",101984.9396
"Monmouth County (Southwest)--Freehold Borough PUMA, New Jersey",130191.4537
"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA; New Jersey",74867.96298
"Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA, New Jersey",145520.8592
"Monmouth County (Northwest)--Keansburg Borough PUMA, New Jersey",115790.7586
"Monmouth County (Central) PUMA, New Jersey",141481.3595
"Ocean County (South) PUMA, New Jersey",38724.85635
"Ocean County (Central)--Beachwood Borough PUMA, New Jersey",56168.05959
"Ocean County (North Central) PUMA, New Jersey",75300.15149
"Ocean County (Northwest) PUMA, New Jersey",74317.58866
"Ocean County (Northeast)--Point Pleasant Borough PUMA, New Jersey",76896.85713
"Essex County (Southeast)--Newark City (North & East) PUMA, New Jersey",48359.59571
"Essex County (Southeast)--Newark City (Southwest) PUMA, New Jersey",34083.23453
"Essex County (Northeast) PUMA, New Jersey",85476.30801
"Essex County (South Central)--East Orange City PUMA, New Jersey",63543.33354
"Essex County (Northwest) PUMA, New Jersey",166242.1918
"Essex County (Southwest) PUMA, New Jersey",188110.4144
"Morris County (North)--Dover Town & Kinnelon Borough PUMA, New Jersey",110684.8683
"Morris County (West) PUMA, New Jersey",135347.8001
"Morris County (East)--Lincoln Park Borough PUMA, New Jersey",142346.7444
"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA; New Jersey",185632.4356
"Sussex County PUMA, New Jersey",88799.01522
"Union County (Northeast)--Elizabeth City PUMA, New Jersey",54539.00532
"Union County (North Central)--Roselle Park Borough PUMA, New Jersey",94118.3957
"Union County (Northwest)--Summit City & Westfield Town (North) PUMA, New Jersey",181319.3008
"Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA, New Jersey",137839.7891
"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA; New Jersey",90201.59262
"Rockland County (North)--New City & Congers PUMA, New York",117999.8608
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",114196.5554
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",71485.272
"Putnam County PUMA, New York",113951.4467
"Westchester County (Northwest) PUMA, New York",126873.8092
"Westchester County (Northeast) PUMA, New York",183530.2714
"Westchester County (Southeast) PUMA, New York",199546.3312
