Selected Geographies,Property taxes (yearly real estate taxes)
"Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA, New Jersey",4756.184159
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",4901.303865
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA; New Jersey",4004.832299
"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",5268.004754
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA; New Jersey",11523.81172
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA; New Jersey",10034.96604
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA; New Jersey",7607.593673
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",11284.16973
"Passaic County (Southeast)--Paterson City PUMA, New Jersey",1819.897085
"Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA, New Jersey",3342.10969
"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",7159.473984
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA; New Jersey",9186.440296
"Hunterdon County PUMA, New Jersey",7732.774468
"Middlesex County (Southeast) PUMA, New Jersey",5982.900594
"Middlesex County (Southwest) PUMA, New Jersey",6693.946281
"Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA, New Jersey",5921.182421
"Middlesex County (North Central)--Metuchen Borough PUMA, New Jersey",5365.901596
"Middlesex County (Northeast)--Carteret Borough PUMA, New Jersey",5058.485687
"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA; New Jersey",4144.998036
"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, New Jersey",3136.896202
"Somerset County (North & West) PUMA, New Jersey",8951.499383
"Somerset County (South) PUMA, New Jersey",6989.921707
"Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA, New Jersey",5775.832566
"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, New Jersey",4907.494496
"Monmouth County (Southwest)--Freehold Borough PUMA, New Jersey",7198.588826
"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA; New Jersey",4184.005053
"Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA, New Jersey",7246.133954
"Monmouth County (Northwest)--Keansburg Borough PUMA, New Jersey",6995.22331
"Monmouth County (Central) PUMA, New Jersey",8019.327289
"Ocean County (South) PUMA, New Jersey",3347.217543
"Ocean County (Central)--Beachwood Borough PUMA, New Jersey",3324.065034
"Ocean County (North Central) PUMA, New Jersey",3977.518276
"Ocean County (Northwest) PUMA, New Jersey",4329.075151
"Ocean County (Northeast)--Point Pleasant Borough PUMA, New Jersey",4665.841346
"Essex County (Southeast)--Newark City (North & East) PUMA, New Jersey",1398.812962
"Essex County (Southeast)--Newark City (Southwest) PUMA, New Jersey",1151.35399
"Essex County (Northeast) PUMA, New Jersey",5792.952147
"Essex County (South Central)--East Orange City PUMA, New Jersey",3563.050722
"Essex County (Northwest) PUMA, New Jersey",9329.353084
"Essex County (Southwest) PUMA, New Jersey",10671.51659
"Morris County (North)--Dover Town & Kinnelon Borough PUMA, New Jersey",6165.11456
"Morris County (West) PUMA, New Jersey",7528.005149
"Morris County (East)--Lincoln Park Borough PUMA, New Jersey",7369.278138
"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA; New Jersey",7838.826956
"Sussex County PUMA, New Jersey",5852.023486
"Union County (Northeast)--Elizabeth City PUMA, New Jersey",2294.445484
"Union County (North Central)--Roselle Park Borough PUMA, New Jersey",5408.45033
"Union County (Northwest)--Summit City & Westfield Town (North) PUMA, New Jersey",9438.634656
"Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA, New Jersey",7967.722861
"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA; New Jersey",5525.892657
"Rockland County (North)--New City & Congers PUMA, New York",8540.847854
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",7504.250943
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",5024.478654
"Putnam County PUMA, New York",7258.728275
"Westchester County (Northwest) PUMA, New York",7529.226756
"Westchester County (Northeast) PUMA, New York",10065.36095
"Westchester County (Southeast) PUMA, New York",9272.698101
"Westchester County (Central)--White Plains City PUMA, New York",8126.40411
"Westchester County (Southwest)--Yonkers City PUMA, New York",2929.59808
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",5958.731986
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",10763.73416
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",9955.96263
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",9020.251018
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",8277.073778
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",9257.160542
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",4917.817807
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",8905.972016
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",10023.65842
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",10605.41335
