Selected Geographies,Gross rent as a percentage of household income past 12 months
"Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA, New Jersey",16.5444447
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA; New Jersey",15.69530983
"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA; New Jersey",16.8142855
"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA; New Jersey",15.1460273
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA; New Jersey",5.011480602
"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA; New Jersey",6.330750321
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA; New Jersey",9.139478117
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA; New Jersey",5.627922935
"Passaic County (Southeast)--Paterson City PUMA, New Jersey",28.42421271
"Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA, New Jersey",24.43172342
"Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA, New Jersey",10.84167034
"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA; New Jersey",4.901546823
"Hunterdon County PUMA, New Jersey",6.094918143
"Middlesex County (Southeast) PUMA, New Jersey",8.609399936
"Middlesex County (Southwest) PUMA, New Jersey",11.5633266
"Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA, New Jersey",9.940985246
"Middlesex County (North Central)--Metuchen Borough PUMA, New Jersey",12.92995576
"Middlesex County (Northeast)--Carteret Borough PUMA, New Jersey",9.655229393
"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA; New Jersey",16.94664375
"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, New Jersey",19.29031936
"Somerset County (North & West) PUMA, New Jersey",4.669739792
"Somerset County (South) PUMA, New Jersey",7.404422874
"Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA, New Jersey",10.98386616
"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, New Jersey",11.03273461
"Monmouth County (Southwest)--Freehold Borough PUMA, New Jersey",6.649364992
"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA; New Jersey",15.08183728
"Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA, New Jersey",7.599271095
"Monmouth County (Northwest)--Keansburg Borough PUMA, New Jersey",7.779066451
"Monmouth County (Central) PUMA, New Jersey",4.553546822
"Ocean County (South) PUMA, New Jersey",4.139527467
"Ocean County (Central)--Beachwood Borough PUMA, New Jersey",6.400389002
"Ocean County (North Central) PUMA, New Jersey",12.10022291
"Ocean County (Northwest) PUMA, New Jersey",6.731668377
"Ocean County (Northeast)--Point Pleasant Borough PUMA, New Jersey",5.534132773
"Essex County (Southeast)--Newark City (North & East) PUMA, New Jersey",31.06021432
"Essex County (Southeast)--Newark City (Southwest) PUMA, New Jersey",27.34972011
"Essex County (Northeast) PUMA, New Jersey",16.24378827
"Essex County (South Central)--East Orange City PUMA, New Jersey",24.85401959
"Essex County (Northwest) PUMA, New Jersey",9.606520018
"Essex County (Southwest) PUMA, New Jersey",5.868223797
"Morris County (North)--Dover Town & Kinnelon Borough PUMA, New Jersey",8.605978892
"Morris County (West) PUMA, New Jersey",7.177734812
"Morris County (East)--Lincoln Park Borough PUMA, New Jersey",8.423240629
"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA; New Jersey",7.453280027
"Sussex County PUMA, New Jersey",5.37962416
"Union County (Northeast)--Elizabeth City PUMA, New Jersey",27.66372994
"Union County (North Central)--Roselle Park Borough PUMA, New Jersey",13.09170879
"Union County (Northwest)--Summit City & Westfield Town (North) PUMA, New Jersey",10.49062117
"Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA, New Jersey",11.63934155
"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA; New Jersey",12.52887136
"Rockland County (North)--New City & Congers PUMA, New York",8.180908183
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",9.986931934
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",21.06831338
"Putnam County PUMA, New York",5.074278744
"Westchester County (Northwest) PUMA, New York",12.9269843
"Westchester County (Northeast) PUMA, New York",6.264260746
"Westchester County (Southeast) PUMA, New York",10.8207268
"Westchester County (Central)--White Plains City PUMA, New York",12.48068076
"Westchester County (Southwest)--Yonkers City PUMA, New York",23.04463964
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",20.73969461
