Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA; Colorado",167244,5317,2927,3203,2220,2361,1857,2201,2391,1750,1998,2478,2851,2905,3154,3194,1150,18263,2005,6867,19497,9272,43857,19330,3328,2868
"Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA, Colorado",129864,4284,4688,1772,1029,1697,1898,2279,1890,2167,2982,1412,2670,1829,2430,4729,2032,19384,4941,10699,15963,7342,20285,9851,848,763
"Adams County (West Central)--Thornton & Federal Heights Cities PUMA, Colorado",153619,7272,8634,1559,2123,2071,1831,2029,2455,3175,6315,3368,3446,4804,5445,6636,3072,26616,5613,8972,14354,6880,18618,6843,609,879
"Adams County (West Central)--Commerce City & Brighton Cities PUMA, Colorado",181189,6358,7202,4344,2884,2781,2823,3877,2803,3418,5414,3657,3509,5602,6619,7233,3763,33365,6869,8137,21220,11557,19760,7441,348,205
"Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA, Colorado",121059,5368,2735,2938,3116,2712,1439,1336,1775,1786,1626,1726,2578,1441,1588,2916,872,16886,1735,4710,12083,9592,24715,11737,1926,1723
"Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA, Colorado",120535,3807,5195,1617,1250,3172,1512,1908,783,1531,1409,2574,2104,2821,2769,4007,2448,26076,3940,6499,14938,7270,17850,3927,771,357
"Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA, Colorado",129820,5861,6982,2167,2119,1411,3019,1572,1205,3140,3052,1105,3480,4475,3116,4758,2830,26235,4379,6092,13372,7498,14638,5517,1039,758
"Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA, Colorado",122752,3644,2619,2436,1853,1758,1714,1332,1327,1082,2195,1666,2253,2662,3173,2591,716,13332,2190,3632,10204,4403,31115,17473,5202,2180
"Denver City (Northeast) PUMA, Colorado",204787,7391,8903,4869,3492,2568,2102,2818,2892,4057,6526,4884,4676,5648,5496,6612,3396,26277,3938,5439,19707,8765,38844,18896,4641,1950
"Denver City (Northwest) PUMA, Colorado",113944,2747,1344,1450,1222,780,930,1261,658,1371,1309,416,1577,1755,1484,2485,949,9345,2853,5876,13379,4181,35218,13769,5432,2153
"Denver City (South Central) PUMA, Colorado",118585,3907,1030,2031,783,854,1216,666,772,882,637,1181,1203,347,1422,933,778,6932,2174,3681,12609,4080,40095,20697,6684,2991
"Denver City (Southeast) PUMA, Colorado",179428,7270,4468,2172,2058,1103,1433,3099,2257,1818,1389,1821,895,1313,2024,2933,1977,21392,5616,5656,20373,10877,49208,18147,7080,3049
"Denver City (Southwest) PUMA, Colorado",128515,5520,7856,1925,836,3407,2279,1924,1110,2790,8408,1601,3578,4599,3920,3684,1914,21743,3973,5765,13199,4797,18118,4287,941,341
"Jefferson County (Northeast)--Arvada City PUMA, Colorado",122380,4585,1288,1428,1672,1056,1304,1810,1553,1725,1303,1490,1803,2448,2202,1287,3207,20798,4195,7730,13534,8035,24456,10793,1263,1415
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA; Colorado",133755,3343,3882,3413,1959,1709,1835,1735,1364,1828,2513,1854,1548,2085,3188,4394,1697,21994,5230,5856,15180,6406,23789,12329,2139,2485
"Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA, Colorado",146586,4824,3421,1712,624,2353,319,1721,1086,1695,2962,1245,2253,1770,2052,4053,1322,23693,4525,8478,18679,10024,31110,11729,3472,1464
"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA; Colorado",115131,2977,1961,1854,1307,1347,789,780,1613,1656,1431,397,2333,1549,1581,1537,2064,15746,3095,4835,16300,6045,28357,11071,3288,1218
"Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA, Colorado",132657,3509,2563,3138,1943,1395,1354,1187,1690,2066,2551,1650,1625,2826,1803,3085,861,12649,1409,5499,14377,8700,36396,15357,3710,1314
"Douglas County (South)--Castle Rock Town PUMA, Colorado",119665,3298,2810,1599,1341,2197,1263,2440,1666,2200,2924,2724,2139,2078,2795,2634,527,10251,1460,5437,12902,8036,29316,13260,2975,1393
"Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA, Colorado",141927,4843,3556,2908,2566,1675,2615,2384,1674,2241,2162,2418,2511,2019,3211,2503,1736,13116,2795,6268,18162,9690,35450,12308,1745,1371
"DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA, Colorado",130627,4632,3520,2606,1154,1792,2140,2315,2639,1573,2707,1876,2955,3849,1975,4013,1436,25015,2927,6492,17445,9278,18052,8194,1083,959
