Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",42549,101446.6138,3841.204752,6.887024372
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",65533,111306.1755,3739.684464,12.99571208
"Los Angeles County (North Central)--Lancaster City PUMA, California",52807,66714.59674,1639.081485,16.07093757
"Los Angeles County (North Central)--Palmdale City PUMA, California",52966,69728.80829,2333.146207,12.81070876
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",61521,102686.1351,3278.855562,16.04765852
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",42801,81113.03848,2814.85519,11.83731689
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",37353,75006.3786,2055.242711,16.81064439
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",42921,80854.67021,2285.728897,17.5953263
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",41277,132857.8712,4840.677447,10.55943988
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",48781,72983.82936,2116.821959,15.88440171
"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",58151,108474.4648,3050.145965,11.39918488
"Los Angeles County (East Central)--Pomona City PUMA, California",40279,66251.54969,1560.848829,20.87854713
"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",34707,93033.51514,3272.353012,10.25916962
"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",33561,102584.3589,3655.328208,13.19457108
"Los Angeles County (East Central)--West Covina City PUMA, California",33771,83011.91229,2419.391579,13.50188031
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",27693,81934.16026,2281.530026,10.58285487
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",69564,90859.87738,4028.581465,16.32009373
"Los Angeles County (Central)--Pasadena City PUMA, California",60306,91416.60929,2275.886645,20.66222266
"Los Angeles County (Central)--Glendale City PUMA, California",77772,88370.67364,1862.784807,28.97196935
"Los Angeles County (Central)--Burbank City PUMA, California",53972,85107.08349,2093.983862,20.13444008
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",58107,70094.50806,1212.19724,31.0230437
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",61751,66459.85652,1422.328594,29.13565772
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",42449,65995.55773,1524.570002,25.6787439
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",66947,96572.45866,3070.531346,21.25533631
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",67828,100407.1388,2633.59039,20.15909359
"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California",38778,205745.1431,7388.923281,6.017974109
