Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",133924,4466,3483,1326,2010,1464,1975,1724,1429,2216,4944,3253,3149,3340,3970,5363,2996,22072,2057,8069,17086,10993,17929,6401,1265,944
"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",197989,8108,7020,2441,2837,2510,2546,3297,2915,4050,5975,3275,2986,3989,3690,3547,4477,26308,2917,11249,29741,15815,32880,10693,2758,1965
"Los Angeles County (North Central)--Lancaster City PUMA, California",162704,9245,9436,1894,3215,2057,2768,2557,3412,3929,4153,2906,4670,5054,3713,8307,3642,31024,2184,5877,22935,11357,10454,6367,1235,313
"Los Angeles County (North Central)--Palmdale City PUMA, California",167823,6391,6389,2350,3736,2990,2683,1727,3507,3717,5668,2944,4482,7600,6821,8066,7753,29378,2896,8312,23707,7784,12795,4585,1108,434
"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",180554,5802,4371,1941,1190,2209,1337,3611,2879,2571,4515,1992,2679,2435,2714,4286,2534,24718,1165,7684,31955,9420,38908,14659,2882,2097
"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",130242,4774,5524,1854,1395,1924,3367,1453,2335,2034,5861,2007,3382,3397,4179,2942,3761,22127,3870,4917,15150,6481,20248,5681,1135,444
"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",154495,4023,12619,1449,3370,2637,3276,4498,3067,3730,9800,3405,4253,8473,4182,3871,4326,30292,2529,4194,18485,6152,13348,1727,347,442
"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",129420,3689,4726,1437,2486,841,1037,3520,2053,1994,4831,1411,2072,4582,2562,3874,3045,24917,1086,7025,18672,7674,17824,5894,1435,733
"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",104189,2374,3989,1147,2579,1295,983,1630,1138,1032,2270,1565,2040,2449,1249,2752,1483,11131,749,2480,10566,5414,24697,12345,5169,1663
"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",175589,6210,8416,1941,1299,1137,1705,3231,2373,3212,9090,2922,5875,6155,3895,6089,5988,34689,3230,6130,25992,11215,17634,5027,1049,1085
