Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",84703,82051.09937,1475.481943,24.56521021
"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",60634,171262.5969,5657.404427,11.26696243
"Alameda County (North Central)--Oakland City (South Central) PUMA, California",45274,54451.07788,1585.381058,21.78082343
"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",66871,106320.8521,3110.638005,16.01588132
"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",47279,112788.4682,3315.345396,14.19452611
"Alameda County (Central)--Hayward City PUMA, California",51748,96816.78983,2691.791142,16.97540002
"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",45692,145744.2314,3891.486081,10.61907993
"Alameda County (South Central)--Fremont City (East) PUMA, California",73030,149014.2022,4406.125113,11.93624538
"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",84644,163552.7052,5368.483188,10.09988895
"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",40130,73005.25318,2014.048243,21.41103912
"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",48602,109704.1089,3620.549319,12.25729394
"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",55705,103003.4268,2826.659277,14.55468988
"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",53182,198059.8251,6871.836618,8.942668572
"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",47949,200626.9676,8117.240506,6.685999708
"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",48126,152936.6638,4532.784836,10.00633753
"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",42605,92813.44044,2400.239573,16.5804483
"Contra Costa County (Northeast)--Antioch City PUMA, California",37701,83778.73133,2403.85507,20.04174956
"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",41955,122588.1065,4987.352544,5.255559528
"Marin County (North & West)--Novato & San Rafael (North) Cities PUMA, California",47963,121895.8207,4785.172154,8.46233555
"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA; California",65212,186517.1281,6723.81761,13.91305281
"San Francisco County (North & West)--Richmond District PUMA, California",72401,139765.5717,2653.888828,17.88846839
"San Francisco County (North & East)--North Beach & Chinatown PUMA, California",66691,141210.1051,2152.863325,19.28946934
"San Francisco County (Central)--South of Market & Potrero PUMA, California",84715,111034.5531,1873.951107,23.15438824
"San Francisco County (Central)--Inner Mission & Castro PUMA, California",58268,193230.2138,3861.663091,13.20362806
"San Francisco County (Central)--Sunset District (North) PUMA, California",44684,151913.7506,3934.637812,13.54816042
"San Francisco County (South Central)--Sunset District (South) PUMA, California",42259,160466.7287,4512.765778,12.10265269
"San Francisco County (South Central)--Bayview & Hunters Point PUMA, California",32460,105586.1661,3132.750185,12.5012939
"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA; California",48431,109868.2406,3216.250005,16.45177675
"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA; California",41149,142189.4041,3737.78799,12.74667671
"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA; California",45325,164587.1854,5310.57551,13.06168781
"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA, California",49867,159248.6642,4854.927347,11.26985782
"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA; California",54334,173200.7154,5053.36318,13.78639526
"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA; California",40362,189181.3384,6515.219167,13.2250384
