Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
 -> Total,5805745,225701,185088,105748,71547,68108,91561,86898,81299,94528,104074,86180,101278,110700,116536,122955,75865,728369,93946,230993,551027,254323,1150641,741780,197673,128927
"District of Columbia (West) PUMA, District of Columbia",112590,2939,1223,2596,1220,944,1780,807,675,1767,1262,1206,747,611,871,1464,792,5660,744,3409,7803,1055,25690,26735,13242,7348
"District of Columbia (North) PUMA, District of Columbia",135172,5953,3977,4049,1702,1101,2868,1190,2111,2333,2306,2120,3537,1463,1897,3358,1197,14294,3094,6046,11326,2235,26634,20238,6424,3719
"District of Columbia (Northeast) PUMA, District of Columbia",126676,6207,3629,1757,1283,1613,1021,1170,1629,1885,1357,1096,2615,1986,2958,1848,1640,13619,4288,3833,9371,3232,28190,19606,7703,3140
"District of Columbia (East) PUMA, District of Columbia",167172,8383,6399,5482,2222,1697,2644,2837,2374,2903,1459,2956,3028,3753,5672,6945,2080,43544,8194,7871,19105,6224,11284,8104,1211,801
"District of Columbia (Central) PUMA, District of Columbia",160845,3764,1593,1365,465,668,482,660,550,888,1278,745,1387,628,1700,1680,782,13180,1650,4078,9926,2132,53569,38987,14145,4543
"Frederick County (Outside Greater Frederick City) PUMA, Maryland",126754,3806,3118,2768,1168,587,2473,2180,987,1460,2476,1956,2401,2491,3371,2378,1148,26131,1687,7881,11972,7635,20364,11833,1802,2681
"Frederick County (Central)--Greater Frederick City PUMA, Maryland",128270,4628,3325,2266,2298,2366,1409,2823,1915,2275,2163,2300,2385,1975,2907,2411,933,20093,2766,7516,11629,7166,23458,13428,2078,1757
"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA; Maryland",138751,4690,3244,2360,1492,1448,1858,1627,2346,2965,1725,2522,1600,2565,2187,3753,1547,12510,1422,4821,12713,5874,33336,19383,5907,4856
"Montgomery County (West Central)--Germantown & Montgomery Village PUMA, Maryland",130384,7692,5937,1993,1403,1405,1915,1595,1224,2141,2740,1799,1574,2109,2938,2069,1875,19501,2602,7215,15234,7716,21742,11440,1960,2565
"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac PUMA; Maryland",194712,6808,7816,4275,2730,2370,4697,2716,3411,2668,2046,2779,4478,4717,4045,2835,3011,17037,1278,4709,17374,8032,40426,25633,8626,10195
