Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"District of Columbia (West) PUMA, District of Columbia",196324.4532
"District of Columbia (North) PUMA, District of Columbia",98239.79469
"District of Columbia (Northeast) PUMA, District of Columbia",99667.80196
"District of Columbia (East) PUMA, District of Columbia",41974.00979
"District of Columbia (Central) PUMA, District of Columbia",112511.2064
"Frederick County (Outside Greater Frederick City) PUMA, Maryland",120985.7701
"Frederick County (Central)--Greater Frederick City PUMA, Maryland",98887.62172
"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA; Maryland",165678.0592
"Montgomery County (West Central)--Germantown & Montgomery Village PUMA, Maryland",93469.07643
"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac PUMA; Maryland",125231.032
"Montgomery County (South)--Bethesda, Potomac & North Bethesda PUMA; Maryland",200352.2498
"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA; Maryland",115373.0591
"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville PUMA; Maryland",110415.5672
"Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA, Maryland",106491.9522
"Prince George's County (Northwest)--College Park City & Langley Park PUMA, Maryland",71404.61841
"Prince George's County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville PUMA; Maryland",89870.66874
"Prince George's County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities PUMA, Maryland",72200.4029
"Prince George's County (Central)--Seat Pleasant City, Capitol Heights Town & Landover PUMA; Maryland",73894.10481
"Prince George's County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA; Maryland",122321.7754
"Prince George's County (South)--Clinton, Fort Washington (South), Rosaryville & Croom PUMA; Maryland",114557.783
"Prince George's County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills PUMA; Maryland",77170.05525
"St. Mary's & Calvert Counties PUMA, Maryland",100101.7651
"Charles County--La Plata Town & Waldorf PUMA, Maryland",94828.96643
"Arlington County (North) PUMA, Virginia",166663.161
"Arlington County (South) PUMA, Virginia",122711.33
"Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village) PUMA, Virginia",134435.63
"Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, Virginia",177377.3205
"Loudoun County (West & South)--Leesburg Town PUMA, Virginia",174360.1487
"Prince William County (North & West)--Linton Hall & Gainesville PUMA, Virginia",157544.0049
"Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley PUMA; Virginia",96618.12525
"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA; Virginia",105846.7252
"Alexandria City PUMA, Virginia",120161.1186
"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA; Virginia",107020.3654
"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA; Virginia",119039.7912
"Fairfax County (Central) & Fairfax City--Burke PUMA, Virginia",144401.9997
"Fairfax County (Southwest)--Centreville (Southeast) & Lorton PUMA, Virginia",160890.6848
"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East) PUMA; Virginia",176450.7547
"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia PUMA; Virginia",134211.2709
"Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA, Virginia",148422.8679
"Fairfax County (Northeast)--McLean & Idylwood PUMA, Virginia",194955.1039
"Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA, Virginia",133596.0124
