Selected Geographies,Property taxes (yearly real estate taxes)
"District of Columbia (West) PUMA, District of Columbia",4174.075974
"District of Columbia (North) PUMA, District of Columbia",1657.478835
"District of Columbia (Northeast) PUMA, District of Columbia",1921.585648
"District of Columbia (East) PUMA, District of Columbia",541.1309931
"District of Columbia (Central) PUMA, District of Columbia",1264.807746
"Frederick County (Outside Greater Frederick City) PUMA, Maryland",3235.528701
"Frederick County (Central)--Greater Frederick City PUMA, Maryland",2429.626834
"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA; Maryland",4843.454542
"Montgomery County (West Central)--Germantown & Montgomery Village PUMA, Maryland",1922.661617
"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac PUMA; Maryland",3019.458916
"Montgomery County (South)--Bethesda, Potomac & North Bethesda PUMA; Maryland",5567.031006
"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA; Maryland",2725.274331
"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville PUMA; Maryland",2522.00373
"Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA, Maryland",2284.428898
"Prince George's County (Northwest)--College Park City & Langley Park PUMA, Maryland",1451.330795
"Prince George's County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville PUMA; Maryland",2369.867282
"Prince George's County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities PUMA, Maryland",1901.772691
"Prince George's County (Central)--Seat Pleasant City, Capitol Heights Town & Landover PUMA; Maryland",1625.877742
"Prince George's County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA; Maryland",3810.250092
"Prince George's County (South)--Clinton, Fort Washington (South), Rosaryville & Croom PUMA; Maryland",3636.536865
"Prince George's County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills PUMA; Maryland",1479.63168
"St. Mary's & Calvert Counties PUMA, Maryland",2297.048847
"Charles County--La Plata Town & Waldorf PUMA, Maryland",2807.500457
"Arlington County (North) PUMA, Virginia",3947.754077
"Arlington County (South) PUMA, Virginia",1766.77578
"Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village) PUMA, Virginia",3046.320034
"Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, Virginia",4204.852124
"Loudoun County (West & South)--Leesburg Town PUMA, Virginia",4491.491767
"Prince William County (North & West)--Linton Hall & Gainesville PUMA, Virginia",4209.737035
"Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley PUMA; Virginia",2234.800054
"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA; Virginia",2673.081502
"Alexandria City PUMA, Virginia",2421.452507
"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA; Virginia",2762.115354
"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA; Virginia",3398.214167
"Fairfax County (Central) & Fairfax City--Burke PUMA, Virginia",4239.04993
"Fairfax County (Southwest)--Centreville (Southeast) & Lorton PUMA, Virginia",4767.66748
"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East) PUMA; Virginia",5075.366352
"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia PUMA; Virginia",3290.150706
"Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA, Virginia",3776.933249
"Fairfax County (Northeast)--McLean & Idylwood PUMA, Virginia",6468.745255
"Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA, Virginia",3176.880084
