Selected Geographies,number
 -> Total,485351
"Lincoln Trail Area Development District (East) PUMA, Kentucky",47396
"KIPDA Area Development District (Southeast) PUMA, Kentucky",45908
"KIPDA Area Development District (West)--Louisville/Jefferson County (Northwest) PUMA, Kentucky",62413
"KIPDA Area Development District (West)--Louisville/Jefferson County (North Central) PUMA, Kentucky",59912
"KIPDA Area Development District (West)--Louisville/Jefferson County (Northeast) PUMA, Kentucky",51214
"KIPDA Area Development District (West)--Louisville/Jefferson County (Southeast) PUMA, Kentucky",59026
"KIPDA Area Development District (West)--Louisville/Jefferson County (South Central) PUMA, Kentucky",53808
"KIPDA Area Development District (West)--Louisville/Jefferson County (Southwest) PUMA, Kentucky",60746
"KIPDA Area Development District (Northeast) PUMA, Kentucky",44928
