Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Pierce County (Central)--Tacoma City (Central) PUMA, Washington",138333,5993,4552,2418,2378,1321,2394,1972,1623,1412,2486,1270,2368,2130,3003,4386,2679,22364,4021,8993,17603,11621,20230,7967,2272,877
"Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA, Washington",128497,3990,4221,2118,2233,1386,1072,1781,1332,1526,1918,1964,1381,1508,2584,2204,838,14602,2336,8707,18151,12951,24486,10901,3327,980
"Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington",118342,8201,3706,1469,2458,1791,1121,1352,1216,1181,1816,928,1958,709,2262,2997,1969,22734,1682,10100,15761,10441,14033,7043,803,611
"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington",133393,4509,5867,1153,3342,1401,1852,2299,2288,1801,2557,1329,2317,2691,3082,4974,3322,32143,4970,7000,17839,12253,11405,2569,286,144
"Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, Washington",125607,4057,4184,1780,2159,1845,1157,1885,1616,2335,1853,2123,1788,2146,1358,3260,1301,24688,3398,8958,12820,12125,19612,8036,874,249
"Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington",138126,5559,5153,1232,2763,1790,2450,1004,1644,2571,945,1838,3385,4418,3453,4224,3862,23036,3803,8826,16466,11282,19358,6987,1367,710
"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington",109536,3631,4299,1796,976,2386,1953,1075,2045,1442,1601,1123,1616,1499,3726,2308,3031,21755,3531,7432,17071,10159,10890,3874,144,173
"Seattle City (Northwest) PUMA, Washington",165544,6250,3056,3636,669,672,1883,1283,1664,1413,1909,1150,2224,1106,712,1807,1006,9469,1937,6268,16541,9633,53596,26261,5577,5822
"Seattle City (Northeast) PUMA, Washington",146931,4593,3099,2319,1745,1208,1122,1567,1265,778,983,1067,1982,952,745,1187,875,13202,1112,6080,20164,10231,39137,18223,6008,7287
"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington",151795,2394,2119,1622,1133,602,1074,1229,840,1566,730,360,1807,887,331,440,508,8870,2329,5145,16019,7446,57975,24094,5883,6392
"Seattle City (Southeast)--Capitol Hill PUMA, Washington",133877,4702,4657,1727,2950,768,1262,1473,1028,1546,2068,502,1686,2420,502,3108,1931,9065,1464,3453,14001,4495,39991,19006,6193,3879
"Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington",146847,5707,5666,2508,1694,2837,2095,1389,1301,2207,3798,1214,1156,2822,1111,1997,1851,14757,1898,6209,14644,10677,37720,15392,3249,2948
"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA; Washington",126972,4577,2700,2987,1379,2302,1416,1813,455,666,1284,1506,1487,1968,1310,2014,1630,12357,1690,4836,14631,10239,34290,14764,2290,2381
"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",149619,6484,3608,3541,2278,1690,2500,2016,1445,1649,1409,3333,2178,2348,1408,2115,1262,10716,1659,5280,13634,7858,42488,21127,3246,4347
"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",151134,4178,3310,2919,2729,1309,1801,2344,1138,1988,1543,1773,2989,1598,1587,2503,1562,8968,904,5013,15465,8265,40787,27364,4965,4132
"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington",155891,5711,3200,2607,1934,2114,2441,1692,2859,2712,2336,2748,2780,2948,3249,4350,840,8921,1598,3411,10620,6588,42077,28506,5825,3824
"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",143729,5626,5304,2487,1355,1245,3100,2067,1694,1927,2767,860,2660,1471,2917,3550,2166,20508,3989,7542,19984,12515,27227,8882,1233,653
"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington",139843,3691,8125,2495,1626,1816,1415,1963,1500,1516,2831,2487,2906,2828,1802,3382,2755,26563,4302,7895,17591,9517,23898,5481,1165,293
"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington",132850,5503,6469,1535,1888,1143,1714,1695,3433,2179,2296,1974,1640,3382,2470,2941,1811,24715,3361,5693,19697,10068,18138,6612,1799,694
"King County (Southwest Central)--Kent City PUMA, Washington",131044,5845,6423,2248,1105,1816,1246,3763,1863,1160,1707,2691,2208,4254,2714,2837,3112,22096,2825,7247,19944,8939,18591,5973,286,151
"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",117752,4850,4808,1591,1217,2772,1875,1918,3356,1680,2517,1246,2002,1765,1886,2385,2267,22353,4651,8172,13938,8963,14337,5139,1679,385
"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington",122162,3361,2994,2559,1424,1714,2024,2575,1786,1927,1934,1506,2607,1686,2267,2350,1648,20103,2238,6584,15808,9870,23945,7662,934,656
"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington",117971,3326,1948,2687,1446,1137,1781,2326,1495,3171,1670,1329,1729,2559,1916,2096,491,11595,1060,3309,13284,7217,29461,15657,1937,3344
"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington",126652,4537,4386,1577,1266,1342,1705,1825,826,2567,1896,1501,1669,2197,1893,2189,2000,18619,1610,7569,15619,10287,27151,8613,1978,1830
"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington",130066,3644,3822,1435,1353,967,354,1912,1339,2716,2561,1744,3193,2484,2897,3324,2735,16917,3924,7678,19531,10424,23789,8864,1429,1030
