Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Pierce County (Central)--Tacoma City (Central) PUMA, Washington",69037.61015
"Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA, Washington",99431.26358
"Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington",63600.27045
"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington",67835.70304
"Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, Washington",98780.72413
"Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington",98831.89444
"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington",86280.59253
"Seattle City (Northwest) PUMA, Washington",122681.2494
"Seattle City (Northeast) PUMA, Washington",115351.476
"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington",110197.651
"Seattle City (Southeast)--Capitol Hill PUMA, Washington",135883.5846
"Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington",99380.18306
"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA; Washington",114459.1195
"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",141356.1568
"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",149491.5624
"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington",168893.3742
"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",90543.11384
"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington",82138.47424
"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington",75436.18741
"King County (Southwest Central)--Kent City PUMA, Washington",77856.73299
"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",77956.8025
"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington",120494.5986
"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington",149858.556
"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington",97129.71602
"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington",94577.98203
"Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, Washington",80823.97199
"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington",132594.5313
"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, Washington",98459.97007
"Snohomish County (North)--Marysville & Arlington Cities PUMA, Washington",85468.435
