Selected Geographies,Property taxes (yearly real estate taxes)
"Pierce County (Central)--Tacoma City (Central) PUMA, Washington",1617.796947
"Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA, Washington",2968.969552
"Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington",1521.516935
"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington",1905.537207
"Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, Washington",3128.561001
"Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington",2649.945945
"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington",2699.136019
"Seattle City (Northwest) PUMA, Washington",2855.80821
"Seattle City (Northeast) PUMA, Washington",2988.651056
"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington",1507.655819
"Seattle City (Southeast)--Capitol Hill PUMA, Washington",3302.672637
"Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington",2780.339853
"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA; Washington",3811.85271
"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",3344.630642
"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",3981.018778
"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington",5504.914934
"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",2349.2872
"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington",2322.530494
"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington",2137.28894
"King County (Southwest Central)--Kent City PUMA, Washington",2157.03433
"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",2360.701151
"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington",4188.692474
"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington",5945.702139
"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington",2850.680259
"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington",2238.725337
"Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, Washington",1979.570292
"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington",4303.93058
"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, Washington",3079.338983
"Snohomish County (North)--Marysville & Arlington Cities PUMA, Washington",2389.175196
