Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
Total,4588525,147566,150551,75255,50691,49637,57235,54274,59181,62162,99649,62008,75669,87766,75254,82956,76196,565849,65243,175354,508844,240360,1069071,470574,130696,96484
"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",173639,4469,7569,2056,974,1773,1510,1894,1502,1656,2696,1841,2479,3110,1711,2419,2864,22411,2392,5740,22249,7384,44178,20899,4568,3295
"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",138373,4402,2538,2144,565,1673,1741,1154,1560,1183,2179,943,2681,2062,2594,1928,860,10423,1555,2754,10208,6142,41650,22050,7972,5412
"Alameda County (North Central)--Oakland City (South Central) PUMA, California",135878,6248,9427,2058,2692,1460,2546,2376,2067,3599,3712,2611,1841,4142,3808,5217,5022,25151,3083,6721,16932,6109,12882,4837,744,593
"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",174117,5281,6109,2970,1730,1923,3056,1924,3225,2542,4040,1955,3126,2419,2620,2953,4043,31128,1505,6368,21400,10442,33085,13729,4203,2341
"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",140894,4099,5944,2929,1619,2091,2040,1724,1823,1801,4079,2757,2024,3894,2877,2858,3596,24913,2140,5906,21204,7318,23439,6614,2185,1020
"Alameda County (Central)--Hayward City PUMA, California",162804,6494,5327,2115,1925,2108,1748,2661,3202,1917,3721,3101,3377,8307,3665,3804,3143,35409,2872,6447,20709,6348,23899,8047,1138,1320
"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",150963,5503,4199,2124,1906,1492,1639,1446,1522,1798,1772,2648,1877,4478,2299,1831,2313,29655,1198,4731,20545,5884,28981,18085,1432,1605
"Alameda County (South Central)--Fremont City (East) PUMA, California",208511,6668,9127,3253,3374,2005,2545,2828,2407,2684,2993,3288,3261,4543,2111,2626,3490,25737,1667,6675,18294,9530,45291,36373,3482,4259
"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",240173,8846,6499,5794,4237,2559,3645,3198,3266,2683,6781,2382,4367,2844,3722,4003,3636,21016,3525,10889,22939,15055,58811,28688,4090,6698
"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",124289,6164,8307,825,2058,2135,1515,2407,2700,2045,5834,2494,4527,2850,2672,3443,3368,21622,2626,6037,16375,6616,11350,4738,380,1201
"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",134428,4751,5586,1615,1418,1925,1972,1627,2665,2420,2544,1717,1886,1404,2315,2857,1431,16046,2281,4667,20216,8474,27640,10898,3463,2610
"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",140500,4558,4971,2791,1965,1191,1052,1897,2124,1823,3443,923,2408,1450,1998,3063,2431,18006,2823,7998,19748,9760,29004,10388,2764,1921
"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",125527,2847,2501,2291,1065,742,1331,1407,1214,1113,3131,1448,2110,2189,2659,1938,1053,6438,1164,3663,10509,7757,37989,16639,8353,3976
"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",130944,2947,2288,2013,1204,1973,1619,1644,2579,1807,3513,2169,3681,3043,3395,3198,2102,7121,565,2737,11049,5181,38205,18560,4551,3800
"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",118343,4421,978,1925,934,1067,1360,739,514,929,1074,1603,2471,1603,1640,1754,481,10413,2501,6736,13007,6757,33884,15359,4338,1855
"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",136999,5307,4428,2955,1420,2788,1926,3214,1555,3275,3564,1346,2063,4171,3057,2532,3103,25757,2778,7083,19559,10807,17952,4970,972,417
"Contra Costa County (Northeast)--Antioch City PUMA, California",116922,5321,4551,1820,2182,1369,2481,1839,2306,2042,2525,2098,704,3341,2773,2262,2891,20378,2312,7080,18426,9176,14066,3248,1251,480
"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",122423,3107,4238,1802,1079,1820,1895,912,1982,2789,3339,1675,2904,1569,2990,3682,2844,20301,2335,9194,17062,10588,17146,5683,1253,234
"Marin County (North & West)--Novato & San Rafael (North) Cities PUMA, California",107068,2870,1915,2939,715,722,1886,832,1818,1073,1664,1562,902,1413,1929,1432,878,11057,1727,5046,10617,9568,26169,10797,4611,2926
"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA; California",152727,3704,2082,2993,2012,2509,2379,1460,1606,1474,2920,4501,2686,3410,2019,2337,1842,10522,1218,4727,12256,6065,44365,19135,9189,5316
"San Francisco County (North & West)--Richmond District PUMA, California",144622,4663,3987,1974,1329,1303,610,1452,164,834,2309,741,1444,1565,1599,1477,1467,9917,1482,3466,11817,5224,54863,20842,6873,3220
"San Francisco County (North & East)--North Beach & Chinatown PUMA, California",116432,3017,4133,1029,515,610,860,484,969,1172,3432,1160,1514,1767,602,1057,1433,10199,1696,2529,5917,3029,41990,17702,6954,2662
"San Francisco County (Central)--South of Market & Potrero PUMA, California",157880,3818,5404,1529,1384,273,780,1220,1326,1178,3737,460,1643,2646,1860,2129,2076,16774,3478,4981,18642,5365,46337,21704,5706,3430
"San Francisco County (Central)--Inner Mission & Castro PUMA, California",116474,3768,1043,1609,969,915,1689,1667,953,1306,519,357,843,572,443,1186,1109,6759,1670,2432,7926,4443,43082,19253,7438,4523
"San Francisco County (Central)--Sunset District (North) PUMA, California",112300,3404,4317,2185,922,952,1111,1100,642,1773,1300,986,1091,687,1114,1021,1630,8583,1959,3419,9227,7552,36829,12094,5015,3387
"San Francisco County (South Central)--Sunset District (South) PUMA, California",127948,2394,3855,744,410,947,702,1378,740,835,1774,1202,3035,3871,2275,3150,3350,15736,1398,3909,14678,6881,37614,10449,4187,2434
"San Francisco County (South Central)--Bayview & Hunters Point PUMA, California",107044,2190,7444,1613,1612,1307,1232,1263,1766,1732,2813,2389,1933,1373,1684,2921,2561,20068,1839,4735,14426,5715,17370,4327,1956,775
"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA; California",143480,4739,4306,1991,1277,737,993,678,2181,2095,1772,2229,1298,2803,1990,1500,2651,21283,2829,5463,23558,9830,33714,9405,1971,2187
"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA; California",126366,3883,4912,1802,1291,1105,1711,1624,930,1775,4340,1753,2224,2019,1520,2307,1419,17357,1360,6655,15365,7750,30293,7217,3141,2613
"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA; California",113520,4557,2330,2876,1728,1145,1517,1620,1744,1429,3051,1450,1907,1009,2069,2456,1596,9790,808,4256,8504,5359,30375,14645,3628,3671
"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA, California",123645,3549,2388,2037,1066,1319,1311,1388,2125,1538,1525,1923,1523,2226,761,1541,1107,10420,1256,5841,13195,5559,32827,18750,4029,4441
"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA; California",138642,4002,3332,3044,1712,1882,2586,1101,1928,2814,2559,1556,2836,2891,1758,4220,1883,13713,1343,4075,12045,4351,31419,18975,5169,7448
"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA; California",124650,5575,4516,3410,1402,1817,2247,2116,2076,3028,4994,2740,3003,2095,4725,1854,2523,11746,1858,2394,10240,4341,22372,15474,3690,4414
